case_id,rule_id,evidence_family,concern_domain,direction_bucket,evidence_direction,allowed_output_level,eligible_for_e6,matched_entity_ids,verification_status,is_true_contradiction,is_contextual_limitation
p2b_0068,EN_COMPILED_HOUSE_023,object_symbolism,neutral_descriptive_only_no_construct_proposed,neutral,insufficient,disabled,False,p2b_0068_c00,verified,False,False
p2b_0068,EN_COMPILED_TREE_024,object_symbolism,neutral_descriptive_only_no_construct_proposed,neutral,insufficient,disabled,False,p2b_0068_c01,verified,False,False
p2b_0068,EN_COMPILED_LINE_LIGHT_PRESSURE_031,line_intensity_quality,anxiety_or_stress_related,concern,insufficient,individual_heuristic_only,True,ev_feature_stroke_intensity_proxy,deterministic_measurement,False,True
p2b_0006,EN_COMPILED_LINE_HEAVY_PRESSURE_030,line_intensity_quality,aggression_or_threat_related,concern,insufficient,individual_heuristic_only,True,ev_feature_stroke_intensity_proxy,deterministic_measurement,False,True
p2b_0006,EN_COMPILED_LINE_SHAKY_BROKEN_032,line_fragmentation_quality,developmental_or_attention_related,concern,insufficient,individual_heuristic_only,True,ev_feature_stroke_fragmentation,deterministic_measurement,False,True
p2b_0007,PSY_AR_GEOMETRY_008,shape_symbolism,developmental_or_attention_related,concern,insufficient,disabled,False,p2b_0007_c02;p2b_0007_c05,verified,False,False
p2b_0007,EN_COMPILED_LINE_SHAKY_BROKEN_032,line_fragmentation_quality,developmental_or_attention_related,concern,insufficient,individual_heuristic_only,True,ev_feature_stroke_fragmentation,deterministic_measurement,False,True
p2b_0008,PSY_AR_GEOMETRY_008,shape_symbolism,developmental_or_attention_related,concern,insufficient,disabled,False,p2b_0008_c04,verified,False,False
p2b_0008,PSY_AR_HEARTS_013,object_symbolism,positive_affect_or_social_engagement,positive,insufficient,disabled,False,p2b_0008_c03;p2b_0008_c04,verified,False,False
p2b_0008,EN_COMPILED_FACE_EXPRESSION_021,facial_feature_style,depressive_or_low_mood_related,concern,insufficient,disabled,False,p2b_0008_c01,verified,False,False
p2b_0009,EN_COMPILED_LINE_HEAVY_PRESSURE_030,line_intensity_quality,aggression_or_threat_related,concern,insufficient,individual_heuristic_only,True,ev_feature_stroke_intensity_proxy,deterministic_measurement,False,True
p2b_0009,EN_COMPILED_LINE_SHAKY_BROKEN_032,line_fragmentation_quality,developmental_or_attention_related,concern,insufficient,individual_heuristic_only,True,ev_feature_stroke_fragmentation,deterministic_measurement,False,True
p2b_0010,EN_COMPILED_LINE_SHAKY_BROKEN_032,line_fragmentation_quality,developmental_or_attention_related,concern,insufficient,individual_heuristic_only,True,ev_feature_stroke_fragmentation,deterministic_measurement,False,True
p2b_0011,EN_COMPILED_HOUSE_023,object_symbolism,neutral_descriptive_only_no_construct_proposed,neutral,insufficient,disabled,False,p2b_0011_c02,verified,False,False
p2b_0014,EN_COMPILED_LINE_SHAKY_BROKEN_032,line_fragmentation_quality,developmental_or_attention_related,concern,insufficient,individual_heuristic_only,True,ev_feature_stroke_fragmentation,deterministic_measurement,False,True
p2b_0017,PSY_AR_STARS_009,shape_symbolism,neutral_descriptive_only_no_construct_proposed,neutral,insufficient,disabled,False,p2b_0017_c03;p2b_0017_c05,verified,False,False
p2b_0017,EN_COMPILED_LINE_LIGHT_PRESSURE_031,line_intensity_quality,anxiety_or_stress_related,concern,insufficient,individual_heuristic_only,True,ev_feature_stroke_intensity_proxy,deterministic_measurement,False,True
p2b_0017,EN_COMPILED_LINE_SHAKY_BROKEN_032,line_fragmentation_quality,developmental_or_attention_related,concern,insufficient,individual_heuristic_only,True,ev_feature_stroke_fragmentation,deterministic_measurement,False,True
p2b_0018,PSY_AR_GEOMETRY_008,shape_symbolism,developmental_or_attention_related,concern,insufficient,disabled,False,p2b_0018_c01,verified,False,False
p2b_0020,EN_COMPILED_LINE_LIGHT_PRESSURE_031,line_intensity_quality,anxiety_or_stress_related,concern,insufficient,individual_heuristic_only,True,ev_feature_stroke_intensity_proxy,deterministic_measurement,False,True
p2b_0022,EN_COMPILED_TREE_024,object_symbolism,neutral_descriptive_only_no_construct_proposed,neutral,insufficient,disabled,False,p2b_0022_c00,verified,False,False
p2b_0022,PSY_AR_SIZE_HALF_014,size_composition,neutral_descriptive_only_no_construct_proposed,neutral,conflicting,individual_heuristic_only,True,ev_bbox_coverage,deterministic_measurement,False,True
p2b_0022,EN_COMPILED_PLACEMENT_CENTER_029,spatial_placement,neutral_descriptive_only,neutral,insufficient,individual_heuristic_only,True,ev_feature_composition_centroid_x;ev_feature_composition_centroid_y,deterministic_measurement,False,False
p2b_0022,EN_COMPILED_LINE_SHAKY_BROKEN_032,line_fragmentation_quality,developmental_or_attention_related,concern,insufficient,individual_heuristic_only,True,ev_feature_stroke_fragmentation,deterministic_measurement,False,True
p2b_0023,PSY_AR_GEOMETRY_008,shape_symbolism,developmental_or_attention_related,concern,insufficient,disabled,False,p2b_0023_c00;p2b_0023_c01;p2b_0023_c02,verified,False,False
p2b_0023,PSY_AR_HEARTS_013,object_symbolism,positive_affect_or_social_engagement,positive,insufficient,disabled,False,p2b_0023_c00;p2b_0023_c01;p2b_0023_c02,verified,False,False
p2b_0023,EN_COMPILED_LINE_LIGHT_PRESSURE_031,line_intensity_quality,anxiety_or_stress_related,concern,insufficient,individual_heuristic_only,True,ev_feature_stroke_intensity_proxy,deterministic_measurement,False,True
p2b_0025,EN_COMPILED_FACE_EXPRESSION_021,facial_feature_style,depressive_or_low_mood_related,concern,insufficient,disabled,False,p2b_0025_c01,verified,False,False
p2b_0025,EN_COMPILED_LINE_LIGHT_PRESSURE_031,line_intensity_quality,anxiety_or_stress_related,concern,insufficient,individual_heuristic_only,True,ev_feature_stroke_intensity_proxy,deterministic_measurement,False,True
p2b_0027,EN_COMPILED_PLACEMENT_CENTER_029,spatial_placement,neutral_descriptive_only,neutral,insufficient,individual_heuristic_only,True,ev_feature_composition_centroid_x;ev_feature_composition_centroid_y,deterministic_measurement,False,False
p2b_0028,PSY_AR_CIRCLES_011,shape_symbolism,social_withdrawal_related,concern,insufficient,disabled,False,p2b_0028_c02,verified,False,False
p2b_0028,EN_COMPILED_LINE_HEAVY_PRESSURE_030,line_intensity_quality,aggression_or_threat_related,concern,insufficient,individual_heuristic_only,True,ev_feature_stroke_intensity_proxy,deterministic_measurement,False,True
p2b_0029,EN_COMPILED_FACE_EXPRESSION_021,facial_feature_style,depressive_or_low_mood_related,concern,insufficient,disabled,False,p2b_0029_c03,verified,False,False
p2b_0029,EN_COMPILED_LINE_SHAKY_BROKEN_032,line_fragmentation_quality,developmental_or_attention_related,concern,insufficient,individual_heuristic_only,True,ev_feature_stroke_fragmentation,deterministic_measurement,False,True
