source_entry_id,source_observable,source_family,source_reference,current_canonical_observable_id,proposed_canonical_observable_id,same_measurement_as_other_sources,merged_with_source_ids,merge_reason,kept_distinct_reason,evidence_family,review_status
PSY_AR_CIRCLES_011,circles,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,circles,circles,no,,,"No entry from a different source family shares evidence family 'shape_symbolism' -- 'circles' is inherently specific to existing_doar_rule, so no merge candidate exists.",shape_symbolism,SOURCE_SPECIFIC
PSY_AR_TRANSPORT_012,vehicles,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,vehicles,vehicles,no,,,"Shares evidence family 'object_symbolism' with entries from htp_2023_meta_analysis, tree_imagery_2026_update, but names a distinct, object/context-specific measurable concept ('vehicles') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",object_symbolism,KEPT_DISTINCT
PSY_AR_HEARTS_013,hearts,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,hearts,hearts,no,,,"Shares evidence family 'object_symbolism' with entries from htp_2023_meta_analysis, tree_imagery_2026_update, but names a distinct, object/context-specific measurable concept ('hearts') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",object_symbolism,KEPT_DISTINCT
PSY_AR_SIZE_HALF_014,coverage_about_half,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,coverage_about_half,coverage_about_half,no,,,"Shares evidence family 'size_composition' with entries from family_drawing_2022_global_scale, family_drawing_2022_marker, feats_formal_element_scale, htp_2023_meta_analysis, koppitz_hfd_indicator, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('coverage_about_half') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",size_composition,KEPT_DISTINCT
PSY_AR_SIZE_FULL_015,Whole drawing: full/expansive page use,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,whole_drawing_relative_size_large,whole_drawing_relative_size_large,no,,,"Shares evidence family 'size_composition' with entries from family_drawing_2022_global_scale, family_drawing_2022_marker, feats_formal_element_scale, htp_2023_meta_analysis, koppitz_hfd_indicator, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('Whole drawing: full/expansive page use') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",size_composition,KEPT_DISTINCT
PSY_AR_SIZE_SMALL_016,Whole drawing: relatively small size,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,whole_drawing_relative_size_small,whole_drawing_relative_size_small,yes,HTP_04_WHOLE_SMALL_DRAWING_SIZE,"Same measurable concept ('Whole drawing: relatively small size') as HTP_04_WHOLE_SMALL_DRAWING_SIZE -- merged under evidence family 'size_composition' because both describe the identical observable, not merely a similar interpretation.",,size_composition,MERGED
PSY_AR_PLACE_TOP_017,placement_top,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,placement_top,placement_top,no,,,"Shares evidence family 'spatial_placement' with entries from family_drawing_2022_marker, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('placement_top') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",spatial_placement,KEPT_DISTINCT
PSY_AR_PLACE_LEFT_018,placement_left,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,placement_left,placement_left,no,,,"Shares evidence family 'spatial_placement' with entries from family_drawing_2022_marker, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('placement_left') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",spatial_placement,KEPT_DISTINCT
PSY_AR_PLACE_RIGHT_019,placement_right,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,placement_right,placement_right,no,,,"Shares evidence family 'spatial_placement' with entries from family_drawing_2022_marker, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('placement_right') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",spatial_placement,KEPT_DISTINCT
EN_COMPILED_EYES_MISSING_DETAIL_020,Eyes: missing or undetailed,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,eyes_missing_or_undetailed,eyes_missing_or_undetailed,no,,,"Shares evidence family 'facial_feature_style' with entries from family_drawing_2022_marker, htp_2023_meta_analysis, koppitz_hfd_indicator, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('Eyes: missing or undetailed') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",facial_feature_style,KEPT_DISTINCT
EN_COMPILED_FACE_EXPRESSION_021,Facial expression (generic depicted affect),existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,facial_expression_generic,facial_expression_generic,yes,OBJFEAT_45_FACIAL_AFFECT_IN_DRAWING,"Same measurable concept ('Facial expression (generic depicted affect)') as OBJFEAT_45_FACIAL_AFFECT_IN_DRAWING -- merged under evidence family 'facial_feature_style' because both describe the identical observable, not merely a similar interpretation.",,facial_feature_style,MERGED
EN_COMPILED_ANIMAL_CHOICE_GENERAL_022,animal_choice_general,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,animal_choice_general,animal_choice_general,no,,,"No entry from a different source family shares evidence family 'animal_symbolism' -- 'animal_choice_general' is inherently specific to existing_doar_rule, so no merge candidate exists.",animal_symbolism,SOURCE_SPECIFIC
EN_COMPILED_HOUSE_023,house,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,house,house,no,,,"Shares evidence family 'object_symbolism' with entries from htp_2023_meta_analysis, tree_imagery_2026_update, but names a distinct, object/context-specific measurable concept ('house') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",object_symbolism,KEPT_DISTINCT
EN_COMPILED_TREE_024,tree,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,tree,tree,no,,,"Shares evidence family 'object_symbolism' with entries from htp_2023_meta_analysis, tree_imagery_2026_update, but names a distinct, object/context-specific measurable concept ('tree') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",object_symbolism,KEPT_DISTINCT
EN_COMPILED_REPEATED_MONSTERS_DANGER_025,repeated_monsters_danger_injury,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,repeated_monsters_danger_injury,repeated_monsters_danger_injury,no,,,"requires_longitudinal_data=True -- 'repeated_monsters_danger_injury' requires multiple drawings/sessions, not assessable from one static image.",isolation_theme,LONGITUDINAL_ONLY
EN_COMPILED_VERY_SMALL_DRAWING_026,very_small_drawing_absolute,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,very_small_drawing_absolute,very_small_drawing_absolute,no,,,"Shares evidence family 'size_composition' with entries from family_drawing_2022_global_scale, family_drawing_2022_marker, feats_formal_element_scale, htp_2023_meta_analysis, koppitz_hfd_indicator, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('very_small_drawing_absolute') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",size_composition,KEPT_DISTINCT
EN_COMPILED_REPEATED_FAMILY_CONFLICT_027,repeated_family_conflict,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,repeated_family_conflict,repeated_family_conflict,no,,,"requires_longitudinal_data=True -- 'repeated_family_conflict' requires multiple drawings/sessions, not assessable from one static image.",isolation_theme,LONGITUDINAL_ONLY
EN_COMPILED_REPEATED_ISOLATION_THEMES_028,Isolation theme (generic),existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,isolation_theme_generic,isolation_theme_generic,yes,FAMILY_GLOBAL_SCALE_03_EMOTIONAL_DISTANCE___ISOLATION,,"requires_longitudinal_data=True -- 'Isolation theme (generic)' requires multiple drawings/sessions, not assessable from one static image.",isolation_theme,LONGITUDINAL_ONLY
EN_COMPILED_PLACEMENT_CENTER_029,placement_center,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,placement_center,placement_center,no,,,"Shares evidence family 'spatial_placement' with entries from family_drawing_2022_marker, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('placement_center') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",spatial_placement,KEPT_DISTINCT
EN_COMPILED_LINE_HEAVY_PRESSURE_030,Line darkness/pressure appearance,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,line_darkness_intensity,line_darkness_intensity,yes,EN_COMPILED_LINE_LIGHT_PRESSURE_031; OBJFEAT_03_LINE_DARKNESS,"Same measurable concept ('Line darkness/pressure appearance') as EN_COMPILED_LINE_LIGHT_PRESSURE_031, OBJFEAT_03_LINE_DARKNESS -- merged under evidence family 'line_intensity_quality' because both describe the identical observable, not merely a similar interpretation.",,line_intensity_quality,MERGED
EN_COMPILED_LINE_LIGHT_PRESSURE_031,Line darkness/pressure appearance,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,line_darkness_intensity,line_darkness_intensity,yes,EN_COMPILED_LINE_HEAVY_PRESSURE_030; OBJFEAT_03_LINE_DARKNESS,"Same measurable concept ('Line darkness/pressure appearance') as EN_COMPILED_LINE_HEAVY_PRESSURE_030, OBJFEAT_03_LINE_DARKNESS -- merged under evidence family 'line_intensity_quality' because both describe the identical observable, not merely a similar interpretation.",,line_intensity_quality,MERGED
EN_COMPILED_LINE_SHAKY_BROKEN_032,shaky_or_broken_lines,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,shaky_or_broken_lines,shaky_or_broken_lines,no,,,"No entry from a different source family shares evidence family 'line_fragmentation_quality' -- 'shaky_or_broken_lines' is inherently specific to existing_doar_rule, so no merge candidate exists.",line_fragmentation_quality,SOURCE_SPECIFIC
EN_COMPILED_LINE_ZIGZAG_033,zigzag_lines,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,zigzag_lines,zigzag_lines,no,,,"No entry from a different source family shares evidence family 'line_quality' -- 'zigzag_lines' is inherently specific to existing_doar_rule, so no merge candidate exists.",line_quality,SOURCE_SPECIFIC
EN_COMPILED_LINE_OVER_ERASING_034,over_erasing_appearance,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,over_erasing_appearance,over_erasing_appearance,no,,,requires_process_data=True -- 'over_erasing_appearance' cannot be assessed from a single static image regardless of any evidence-family overlap.,line_quality,PROCESS_ONLY
EN_COMPILED_MISSING_HANDS_035,Hands: absent,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,missing_hands,missing_hands,yes,KOPPITZ_17_HANDS_CUT_OFF___ABSENT,"Same measurable concept ('Hands: absent') as KOPPITZ_17_HANDS_CUT_OFF___ABSENT -- merged under evidence family 'missing_body_part' because both describe the identical observable, not merely a similar interpretation.",,missing_body_part,MERGED
EN_COMPILED_MISSING_MOUTH_036,Mouth: absent,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,missing_mouth,missing_mouth,yes,KOPPITZ_25_NO_MOUTH,"Same measurable concept ('Mouth: absent') as KOPPITZ_25_NO_MOUTH -- merged under evidence family 'missing_body_part' because both describe the identical observable, not merely a similar interpretation.",,missing_body_part,MERGED
EN_COMPILED_EXAGGERATED_BODY_PARTS_037,exaggerated_body_parts,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,exaggerated_body_parts,exaggerated_body_parts,no,,,"Shares evidence family 'missing_body_part' with entries from family_drawing_2022_marker, feats_formal_element_scale, htp_2023_meta_analysis, koppitz_hfd_indicator, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('exaggerated_body_parts') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",missing_body_part,KEPT_DISTINCT
EN_COMPILED_DARK_COLORS_SAD_ISOLATION_038,dark_colors_sad_faces_isolation,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,dark_colors_sad_faces_isolation,dark_colors_sad_faces_isolation,no,,,"Shares evidence family 'colour_mood_flags' with entries from family_drawing_2022_global_scale, family_drawing_2022_marker, feats_formal_element_scale, htp_2023_meta_analysis, koppitz_hfd_indicator, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('dark_colors_sad_faces_isolation') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",colour_mood_flags,KEPT_DISTINCT
EN_COMPILED_REFUSAL_TO_DRAW_039,refusal_to_draw_figures,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,refusal_to_draw_figures,refusal_to_draw_figures,no,,,requires_process_data=True -- 'refusal_to_draw_figures' cannot be assessed from a single static image regardless of any evidence-family overlap.,task_engagement,PROCESS_ONLY
EN_COMPILED_EXCESSIVE_DETAIL_040,excessive_detail_or_fixation,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,excessive_detail_or_fixation,excessive_detail_or_fixation,no,,,"Shares evidence family 'detail_fixation' with entries from family_drawing_2022_marker, feats_formal_element_scale, htp_2023_meta_analysis, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('excessive_detail_or_fixation') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",detail_fixation,KEPT_DISTINCT
EN_COMPILED_NEGLECT_BACKGROUND_041,neglect_of_background,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,neglect_of_background,neglect_of_background,no,,,"No entry from a different source family shares evidence family 'composition_omission' -- 'neglect_of_background' is inherently specific to existing_doar_rule, so no merge candidate exists.",composition_omission,SOURCE_SPECIFIC
FEATS_01_PROMINENCE_OF_COLOR,Prominence of Color,feats_formal_element_scale,"Gantt & Bucciarelli (2025), Wiley Handbook of Art Therapy ch.70; Gantt & Tabone Rating Manual (not yet obtained)",prominence_of_color,prominence_of_color,no,,,"Shares evidence family 'colour_mood_flags' with entries from existing_doar_rule, family_drawing_2022_global_scale, family_drawing_2022_marker, htp_2023_meta_analysis, koppitz_hfd_indicator, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('Prominence of Color') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",colour_mood_flags,KEPT_DISTINCT
FEATS_02_COLOR_FIT,Color Fit,feats_formal_element_scale,"Gantt & Bucciarelli (2025), Wiley Handbook of Art Therapy ch.70; Gantt & Tabone Rating Manual (not yet obtained)",color_fit,color_fit,no,,,"Shares evidence family 'SEMANTIC_THEME_CANDIDATE' with entries from family_drawing_2022_global_scale, family_drawing_2022_marker, htp_2023_meta_analysis, koppitz_hfd_indicator, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('Color Fit') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",SEMANTIC_THEME_CANDIDATE,KEPT_DISTINCT
FEATS_03_IMPLIED_ENERGY,Implied Energy,feats_formal_element_scale,"Gantt & Bucciarelli (2025), Wiley Handbook of Art Therapy ch.70; Gantt & Tabone Rating Manual (not yet obtained)",implied_energy,implied_energy,no,,,"Shares evidence family 'STROKE_DENSITY_TEXTURE_FORMAL' with entries from family_drawing_2022_global_scale, htp_2023_meta_analysis, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('Implied Energy') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",STROKE_DENSITY_TEXTURE_FORMAL,KEPT_DISTINCT
FEATS_04_SPACE,Space,feats_formal_element_scale,"Gantt & Bucciarelli (2025), Wiley Handbook of Art Therapy ch.70; Gantt & Tabone Rating Manual (not yet obtained)",space,space,no,,,"Shares evidence family 'size_composition' with entries from existing_doar_rule, family_drawing_2022_global_scale, family_drawing_2022_marker, htp_2023_meta_analysis, koppitz_hfd_indicator, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('Space') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",size_composition,KEPT_DISTINCT
FEATS_05_INTEGRATION,Integration,feats_formal_element_scale,"Gantt & Bucciarelli (2025), Wiley Handbook of Art Therapy ch.70; Gantt & Tabone Rating Manual (not yet obtained)",integration,integration,no,,,"Shares evidence family 'SCENE_ORGANIZATION_FORMAL' with entries from family_drawing_2022_global_scale, family_drawing_2022_marker, htp_2023_meta_analysis, koppitz_hfd_indicator, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('Integration') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",SCENE_ORGANIZATION_FORMAL,KEPT_DISTINCT
FEATS_06_LOGIC,Logic,feats_formal_element_scale,"Gantt & Bucciarelli (2025), Wiley Handbook of Art Therapy ch.70; Gantt & Tabone Rating Manual (not yet obtained)",logic,logic,no,,,"Shares evidence family 'SEMANTIC_THEME_CANDIDATE' with entries from family_drawing_2022_global_scale, family_drawing_2022_marker, htp_2023_meta_analysis, koppitz_hfd_indicator, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('Logic') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",SEMANTIC_THEME_CANDIDATE,KEPT_DISTINCT
FEATS_07_REALISM,Realism,feats_formal_element_scale,"Gantt & Bucciarelli (2025), Wiley Handbook of Art Therapy ch.70; Gantt & Tabone Rating Manual (not yet obtained)",realism,realism,no,,,"Shares evidence family 'SEMANTIC_THEME_CANDIDATE' with entries from family_drawing_2022_global_scale, family_drawing_2022_marker, htp_2023_meta_analysis, koppitz_hfd_indicator, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('Realism') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",SEMANTIC_THEME_CANDIDATE,KEPT_DISTINCT
FEATS_08_PROBLEM_SOLVING,Problem Solving,feats_formal_element_scale,"Gantt & Bucciarelli (2025), Wiley Handbook of Art Therapy ch.70; Gantt & Tabone Rating Manual (not yet obtained)",problem_solving,problem_solving,no,,,"Shares evidence family 'SEMANTIC_THEME_CANDIDATE' with entries from family_drawing_2022_global_scale, family_drawing_2022_marker, htp_2023_meta_analysis, koppitz_hfd_indicator, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('Problem Solving') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",SEMANTIC_THEME_CANDIDATE,KEPT_DISTINCT
FEATS_09_DEVELOPMENTAL_LEVEL,Developmental Level,feats_formal_element_scale,"Gantt & Bucciarelli (2025), Wiley Handbook of Art Therapy ch.70; Gantt & Tabone Rating Manual (not yet obtained)",developmental_level,developmental_level,no,,,"Shares evidence family 'SCENE_ORGANIZATION_FORMAL' with entries from family_drawing_2022_global_scale, family_drawing_2022_marker, htp_2023_meta_analysis, koppitz_hfd_indicator, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('Developmental Level') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",SCENE_ORGANIZATION_FORMAL,KEPT_DISTINCT
FEATS_10_DETAILS_OF_OBJECTS_ENVIRONMENT,Details of Objects/Environment,feats_formal_element_scale,"Gantt & Bucciarelli (2025), Wiley Handbook of Art Therapy ch.70; Gantt & Tabone Rating Manual (not yet obtained)",details_of_objects_environment,details_of_objects_environment,no,,,"Shares evidence family 'detail_fixation' with entries from existing_doar_rule, family_drawing_2022_marker, htp_2023_meta_analysis, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('Details of Objects/Environment') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",detail_fixation,KEPT_DISTINCT
FEATS_11_LINE_QUALITY,Line Quality,feats_formal_element_scale,"Gantt & Bucciarelli (2025), Wiley Handbook of Art Therapy ch.70; Gantt & Tabone Rating Manual (not yet obtained)",line_quality,line_quality,no,,,"Shares evidence family 'LINE_GEOMETRY_FORMAL' with entries from htp_2023_meta_analysis, koppitz_hfd_indicator, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('Line Quality') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",LINE_GEOMETRY_FORMAL,KEPT_DISTINCT
FEATS_12_PERSON,Person,feats_formal_element_scale,"Gantt & Bucciarelli (2025), Wiley Handbook of Art Therapy ch.70; Gantt & Tabone Rating Manual (not yet obtained)",person,person,no,,,"Shares evidence family 'missing_body_part' with entries from existing_doar_rule, family_drawing_2022_marker, htp_2023_meta_analysis, koppitz_hfd_indicator, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('Person') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",missing_body_part,KEPT_DISTINCT
FEATS_13_ROTATION,Rotation,feats_formal_element_scale,"Gantt & Bucciarelli (2025), Wiley Handbook of Art Therapy ch.70; Gantt & Tabone Rating Manual (not yet obtained)",rotation,rotation,no,,,"Shares evidence family 'LINE_GEOMETRY_FORMAL' with entries from htp_2023_meta_analysis, koppitz_hfd_indicator, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('Rotation') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",LINE_GEOMETRY_FORMAL,KEPT_DISTINCT
FEATS_14_PERSEVERATION,Perseveration,feats_formal_element_scale,"Gantt & Bucciarelli (2025), Wiley Handbook of Art Therapy ch.70; Gantt & Tabone Rating Manual (not yet obtained)",perseveration,perseveration,no,,,"Shares evidence family 'SYMMETRY_REGULARITY_FORMAL' with entries from family_drawing_2022_marker, koppitz_hfd_indicator, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('Perseveration') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",SYMMETRY_REGULARITY_FORMAL,KEPT_DISTINCT
KOPPITZ_01_POOR_INTEGRATION_OF_PARTS,Poor integration of parts,koppitz_hfd_indicator,Koppitz (1966) J. Clin. Psychol. 22(3); Catte & Cox (1999) Eur. Child Adolesc. Psychiatry 8(2),poor_integration_of_parts,poor_integration_of_parts,no,,,"Shares evidence family 'SCENE_ORGANIZATION_FORMAL' with entries from family_drawing_2022_global_scale, family_drawing_2022_marker, feats_formal_element_scale, htp_2023_meta_analysis, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('Poor integration of parts') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",SCENE_ORGANIZATION_FORMAL,KEPT_DISTINCT
KOPPITZ_02_SHADING_OF_FACE,Face: shading,koppitz_hfd_indicator,Koppitz (1966) J. Clin. Psychol. 22(3); Catte & Cox (1999) Eur. Child Adolesc. Psychiatry 8(2),face_shading,face_shading,no,,,"Shares evidence family 'colour_mood_flags' with entries from existing_doar_rule, family_drawing_2022_global_scale, family_drawing_2022_marker, feats_formal_element_scale, htp_2023_meta_analysis, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('Face: shading') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",colour_mood_flags,KEPT_DISTINCT
KOPPITZ_03_SHADING_OF_BODY_LIMBS,Body/limbs: shading,koppitz_hfd_indicator,Koppitz (1966) J. Clin. Psychol. 22(3); Catte & Cox (1999) Eur. Child Adolesc. Psychiatry 8(2),body_limb_shading,body_limb_shading,no,,,"Shares evidence family 'colour_mood_flags' with entries from existing_doar_rule, family_drawing_2022_global_scale, family_drawing_2022_marker, feats_formal_element_scale, htp_2023_meta_analysis, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('Body/limbs: shading') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",colour_mood_flags,KEPT_DISTINCT
