image_id,observation_id,observer_label,observer_alternative_labels,observer_bbox,observer_bbox_area,observer_bbox_valid,observer_confidence,observer_entity_type,verifier_independent_label,verifier_independent_alternative_labels,verifier_confidence,verification_status,verifier_notes,matches_a1,a1_matching_labels,a1_salient,matches_a2,a2_matching_labels,a2_salient,bucket_a1,bucket_a2,heuristic_failure_category
h38,h38_c10,ground,road; dirt road; orange ground,"[0.0, 0.88, 1.0, 0.12]",0.12,True,0.92,object,ground,dirt; earth; soil; road,0.95,verified,"Independent verifier observation: 'ground' (alternatives: ['dirt', 'earth', 'soil', 'road'])",True,ground,True,False,,,1_true_kept_verified,4_false_kept_verified,
p2b_0001,p2b_0001_c00,house,building; home,"[0.0, 4e-11, 0.65, 1.0]",0.65,True,0.95,object,house,building; hut; cottage,0.95,verified,"Independent verifier observation: 'house' (alternatives: ['building', 'hut', 'cottage'])",True,big house,True,True,house,True,1_true_kept_verified,1_true_kept_verified,
p2b_0001,p2b_0001_c01,roof,house roof,"[0.0, 4e-11, 0.65, 0.7018]",0.45617,True,0.95,object,roof,tent; triangle,0.95,verified,"Independent verifier observation: 'roof' (alternatives: ['tent', 'triangle'])",False,,,False,,,4_false_kept_verified,4_false_kept_verified,
p2b_0001,p2b_0001_c02,flower,orange flower; plant,"[0.6853, 0.4907, 0.1873, 0.5093]",0.09539,True,0.9,object,flower,plant; drawing of a flower,0.95,verified,"Independent verifier observation: 'flower' (alternatives: ['plant', 'drawing of a flower'])",True,flowers,True,True,flowers,True,1_true_kept_verified,1_true_kept_verified,
p2b_0001,p2b_0001_c03,flower,blue flower; plant,"[0.9067, 0.6385, 0.0933, 0.3615]",0.03373,True,0.85,object,unknown,,,uncertain,Independent verifier observation: 'unknown' (alternatives: []),True,flowers,True,True,flowers,True,2_true_removed,2_true_removed,verifier_visual_miss
p2b_0001,p2b_0001_c04,sun,sun rays; yellow sun,"[0.772, 0.0, 0.228, 0.274]",0.06247,True,0.9,object,unknown,,,uncertain,Independent verifier observation: 'unknown' (alternatives: []),True,sun with rays,True,True,sun,True,2_true_removed,2_true_removed,verifier_visual_miss
p2b_0001,p2b_0001_c05,window,left window,"[0.0, 0.7633, 0.1653, 0.2367]",0.03913,True,0.85,object,unknown,,,uncertain,Independent verifier observation: 'unknown' (alternatives: []),False,,,True,windows,True,3_false_removed,2_true_removed,verifier_visual_miss
p2b_0001,p2b_0001_c06,window,right window,"[0.28, 0.7607, 0.1813, 0.2393]",0.04339,True,0.85,object,french fries,fries; chips,0.85,rejected,"Independent verifier observation: 'french fries' (alternatives: ['fries', 'chips'])",False,,,True,windows,True,3_false_removed,2_true_removed,verifier_visual_miss
p2b_0002,p2b_0002_c00,fallen tree trunk and branches,tree trunk; log; bare tree,"[0.0, 0.0, 1.0, 1.0]",1.0,True,0.95,object,tree,branches; tree trunk; plant,0.8,verified,"Independent verifier observation: 'tree' (alternatives: ['branches', 'tree trunk', 'plant'])",True,large tree trunk; tree branches,True,True,tree branches,True,1_true_kept_verified,1_true_kept_verified,
p2b_0002,p2b_0002_c01,main diagonal tree trunk,log; fallen trunk,"[0.0, 0.004, 1.0, 0.996]",0.996,True,0.92,object,tree,branches; tree trunk; plant,0.85,verified,"Independent verifier observation: 'tree' (alternatives: ['branches', 'tree trunk', 'plant'])",True,large tree trunk; tree branches,True,True,tree branches,True,1_true_kept_verified,1_true_kept_verified,
p2b_0002,p2b_0002_c02,vertical branch with split tip,branch; twigs,"[0.28, 0.0, 0.11, 0.51]",0.0561,True,0.88,object,unknown,lines; abstract sketch; pencil stroke,0.0,uncertain,"Independent verifier observation: 'unknown' (alternatives: ['lines', 'abstract sketch', 'pencil stroke'])",False,,,False,,,3_false_removed,3_false_removed,
p2b_0002,p2b_0002_c03,top right branch with fork,branch; twigs,"[0.58, 0.0, 0.12, 0.16]",0.0192,True,0.85,object,unknown,,,uncertain,Independent verifier observation: 'unknown' (alternatives: []),False,,,False,,,3_false_removed,3_false_removed,
p2b_0002,p2b_0002_c04,long horizontal right branch,branch; twigs,"[0.47, 0.226, 0.53, 0.3]",0.159,True,0.9,object,unknown,,,uncertain,Independent verifier observation: 'unknown' (alternatives: []),False,,,False,,,3_false_removed,3_false_removed,
p2b_0002,p2b_0002_c05,bottom right branching twigs,small tree; branches; twigs,"[0.71, 0.51, 0.29, 0.49]",0.1421,True,0.86,object,grass,blades of grass; leaves; stems,0.7,rejected,"Independent verifier observation: 'grass' (alternatives: ['blades of grass', 'leaves', 'stems'])",False,,,False,,,3_false_removed,3_false_removed,
p2b_0002,p2b_0002_c06,hollow or knot on trunk,tree knot; bark detail,"[0.22, 0.67, 0.09, 0.16]",0.0144,True,0.8,object,unknown,abstract pixels; noise,0.0,uncertain,"Independent verifier observation: 'unknown' (alternatives: ['abstract pixels', 'noise'])",True,large tree trunk,True,False,,,2_true_removed,3_false_removed,verifier_visual_miss
p2b_0002,p2b_0002_c07,background structure or ground contour,rock; hill; ground,"[0.31, 0.67, 0.37, 0.33]",0.1221,True,0.72,object,finger,hand; thumb; toe,0.6,rejected,"Independent verifier observation: 'finger' (alternatives: ['hand', 'thumb', 'toe'])",False,,,True,Background texture,False,3_false_removed,2_true_removed,verifier_visual_miss
p2b_0002,p2b_0002_c08,dotted texture specks,stippling; snow particles; dirt marks,"[0.09, 0.17, 0.88, 0.45]",0.396,True,0.75,decorative_mark,tree branches,wooden sticks; tree limbs,0.85,rejected,"Independent verifier observation: 'tree branches' (alternatives: ['wooden sticks', 'tree limbs'])",False,,,True,Background texture,False,3_false_removed,2_true_removed,bad_bbox_or_crop_construction
p2b_0003,p2b_0003_c00,green face circle,green circle; head; face,"[0.198, 0.233, 0.584, 0.531]",0.3101,True,0.95,geometric_shape,crying face drawing,sad face; smiley face,0.95,verified,"Independent verifier observation: 'crying face drawing' (alternatives: ['sad face', 'smiley face'])",True,sad face,True,True,Face,True,1_true_kept_verified,1_true_kept_verified,
p2b_0003,p2b_0003_c01,left eye,eye,"[0.309, 0.364, 0.11, 0.15]",0.0165,True,0.9,object,eye,cartoon eye; drawn eye,0.95,verified,"Independent verifier observation: 'eye' (alternatives: ['cartoon eye', 'drawn eye'])",True,eyes,True,False,,,1_true_kept_verified,4_false_kept_verified,
p2b_0003,p2b_0003_c02,right eye,eye,"[0.463, 0.347, 0.117, 0.158]",0.01849,True,0.9,object,eye,drawn eye; cartoon eye,0.95,verified,"Independent verifier observation: 'eye' (alternatives: ['drawn eye', 'cartoon eye'])",True,eyes,True,False,,,1_true_kept_verified,4_false_kept_verified,
p2b_0003,p2b_0003_c03,frowning mouth,mouth; sad mouth,"[0.358, 0.569, 0.187, 0.124]",0.02319,True,0.9,object,unknown,,,uncertain,Independent verifier observation: 'unknown' (alternatives: []),True,downturned mouth,True,False,,,2_true_removed,3_false_removed,verifier_visual_miss
p2b_0003,p2b_0003_c04,left teardrop line,tear; crying line,"[0.303, 0.505, 0.052, 0.093]",0.00484,True,0.85,scribble,unknown,line; stroke,0.0,uncertain,"Independent verifier observation: 'unknown' (alternatives: ['line', 'stroke'])",True,tear-like lines,True,True,Tears,True,2_true_removed,2_true_removed,verifier_visual_miss
p2b_0003,p2b_0003_c05,right teardrop line,tear; crying line,"[0.528, 0.504, 0.08, 0.183]",0.01464,True,0.85,scribble,unknown,,,uncertain,Independent verifier observation: 'unknown' (alternatives: []),True,tear-like lines,True,True,Tears,True,2_true_removed,2_true_removed,verifier_visual_miss
p2b_0003,p2b_0003_c06,left eyebrow,eyebrow,"[0.308, 0.34, 0.097, 0.076]",0.00737,True,0.85,object,eyebrow,brow; line,0.95,verified,"Independent verifier observation: 'eyebrow' (alternatives: ['brow', 'line'])",True,eyes,True,False,,,1_true_kept_verified,4_false_kept_verified,
p2b_0003,p2b_0003_c07,right eyebrow,eyebrow,"[0.485, 0.343, 0.115, 0.079]",0.00909,True,0.85,object,unknown,,0.0,uncertain,Independent verifier observation: 'unknown' (alternatives: []),True,eyes,True,False,,,2_true_removed,3_false_removed,verifier_visual_miss
p2b_0003,p2b_0003_c08,pink watercolor background aura,paint splash; pink wash; hair or aura,"[0.031, 0.05, 0.956, 0.749]",0.71604,True,0.9,abstract_mark,drawing of a sad face,crying face sketch; children's drawing; sad emoji drawing,0.95,rejected,"Independent verifier observation: 'drawing of a sad face' (alternatives: ['crying face sketch', ""children's drawing"", 'sad emoji drawing'])",True,pink-purple area around head,True,True,Background colors,True,2_true_removed,2_true_removed,bad_bbox_or_crop_construction
p2b_0003,p2b_0003_c09,neck and torso,neck; body,"[0.203, 0.757, 0.551, 0.243]",0.13389,True,0.85,object,neck,torso; shirt,0.8,verified,"Independent verifier observation: 'neck' (alternatives: ['torso', 'shirt'])",True,neck,False,True,Neck,True,1_true_kept_verified,1_true_kept_verified,
p2b_0003,p2b_0003_c10,blue ink scribbles,blue paint lines; scribbles,"[0.756, 0.038, 0.165, 0.25]",0.04125,True,0.8,scribble,unknown,,0.0,uncertain,Independent verifier observation: 'unknown' (alternatives: []),True,blue marks,False,False,,,2_true_removed,3_false_removed,verifier_visual_miss
p2b_0004,p2b_0004_c00,cloud,blue cloud; sky element,"[0.0031, 0.0031, 0.125, 0.3012]",0.03765,True,0.88,object,unknown,abstract; pixelated colors,0.0,uncertain,"Independent verifier observation: 'unknown' (alternatives: ['abstract', 'pixelated colors'])",False,,,True,Clouds,True,3_false_removed,2_true_removed,verifier_visual_miss
p2b_0004,p2b_0004_c01,sun,sun with face; yellow sun,"[0.2468, 0.0031, 0.2875, 0.3642]",0.10471,True,0.95,object,unknown,,,uncertain,Independent verifier observation: 'unknown' (alternatives: []),False,,,True,Sun,True,3_false_removed,2_true_removed,verifier_visual_miss
p2b_0004,p2b_0004_c02,cloud,blue cloud; storm cloud,"[0.6031, 0.0031, 0.2469, 0.2198]",0.05427,True,0.9,object,unknown,,,uncertain,Independent verifier observation: 'unknown' (alternatives: []),False,,,True,Clouds,True,3_false_removed,2_true_removed,verifier_visual_miss
p2b_0004,p2b_0004_c03,lightning bolt,lightning streak; yellow lightning,"[0.6375, 0.2031, 0.1875, 0.3543]",0.06643,True,0.85,symbol,unknown,,,uncertain,Independent verifier observation: 'unknown' (alternatives: []),False,,,True,Lightning bolts,True,3_false_removed,2_true_removed,verifier_visual_miss
p2b_0004,p2b_0004_c04,butterfly,purple butterfly; insect,"[0.3844, 0.5525, 0.1625, 0.3173]",0.05156,True,0.92,object,rabbit silhouette,bunny; Playboy logo,0.8,rejected,"Independent verifier observation: 'rabbit silhouette' (alternatives: ['bunny', 'Playboy logo'])",False,,,False,,,3_false_removed,3_false_removed,
p2b_0004,p2b_0004_c05,child figure,boy figure; person,"[0.0656, 0.6296, 0.3844, 0.3673]",0.14119,True,0.94,object,person,human; character; figure,0.95,verified,"Independent verifier observation: 'person' (alternatives: ['human', 'character', 'figure'])",False,,,False,,,4_false_kept_verified,4_false_kept_verified,
p2b_0004,p2b_0004_c06,child figure,girl figure; person with blue hair,"[0.3406, 0.6636, 0.5, 0.3333]",0.16665,True,0.93,object,drawing,sketch; artwork,0.8,rejected,"Independent verifier observation: 'drawing' (alternatives: ['sketch', 'artwork'])",False,,,False,,,3_false_removed,3_false_removed,
p2b_0004,p2b_0004_c07,child figure,girl figure; person,"[0.9062, 0.5895, 0.0906, 0.4074]",0.03691,True,0.87,object,unknown,,,uncertain,Independent verifier observation: 'unknown' (alternatives: []),False,,,False,,,3_false_removed,3_false_removed,
p2b_0005,p2b_0005_c00,King Pig,Angry Birds pig; green pig with crown,"[0.222, 0.165, 0.54, 0.742]",0.40068,True,0.98,object,King Pig from Angry Birds,Bad Piggy; Minion Pig; Angry Birds pig character,0.98,verified,"Independent verifier observation: 'King Pig from Angry Birds' (alternatives: ['Bad Piggy', 'Minion Pig', 'Angry Birds pig character'])",True,pig / pig-like face,True,True,Pig’s head,True,1_true_kept_verified,1_true_kept_verified,
p2b_0005,p2b_0005_c01,crown,pig crown; yellow crown,"[0.575, 0.165, 0.175, 0.237]",0.04147,True,0.95,object,crown,tiara; princess crown; queen crown,0.99,verified,"Independent verifier observation: 'crown' (alternatives: ['tiara', 'princess crown', 'queen crown'])",True,crown,True,True,Crown,True,1_true_kept_verified,1_true_kept_verified,
p2b_0005,p2b_0005_c02,snout,pig nose; snout,"[0.375, 0.511, 0.252, 0.245]",0.06174,True,0.92,object,pig snout,nose; snout; oval shape,0.95,verified,"Independent verifier observation: 'pig snout' (alternatives: ['nose', 'snout', 'oval shape'])",True,snout / nose,True,False,,,1_true_kept_verified,4_false_kept_verified,
p2b_0005,p2b_0005_c03,left ear,pig ear,"[0.222, 0.383, 0.145, 0.125]",0.01812,True,0.88,object,avocado,fruit; half avocado,0.85,rejected,"Independent verifier observation: 'avocado' (alternatives: ['fruit', 'half avocado'])",True,ears,False,True,Ears,True,2_true_removed,2_true_removed,verifier_visual_miss
p2b_0005,p2b_0005_c04,right ear,pig ear,"[0.334, 0.255, 0.138, 0.127]",0.01753,True,0.88,object,ear,loop; petal,0.5,verified,"Independent verifier observation: 'ear' (alternatives: ['loop', 'petal'])",True,ears,False,True,Ears,True,1_true_kept_verified,1_true_kept_verified,
p2b_0005,p2b_0005_c05,left eye,eye,"[0.283, 0.584, 0.108, 0.122]",0.01318,True,0.9,object,eye,pupil; cartoon eye,0.85,verified,"Independent verifier observation: 'eye' (alternatives: ['pupil', 'cartoon eye'])",True,eyes,True,False,,,1_true_kept_verified,4_false_kept_verified,
p2b_0005,p2b_0005_c06,right eye,eye,"[0.602, 0.521, 0.111, 0.125]",0.01388,True,0.9,object,eye,cartoon eye; character eye,0.95,verified,"Independent verifier observation: 'eye' (alternatives: ['cartoon eye', 'character eye'])",True,eyes,True,False,,,1_true_kept_verified,4_false_kept_verified,
p2b_0012,p2b_0012_c00,hand-drawn face drawing,expressionist portrait drawing; graffiti style face artwork,"[0.0, 0.0, 1.0, 1.0]",1.0,True,0.95,object,drawing,painting; artwork,0.8,verified,"Independent verifier observation: 'drawing' (alternatives: ['painting', 'artwork'])",True,distorted human-like face,True,True,Face,True,1_true_kept_verified,1_true_kept_verified,
p2b_0012,p2b_0012_c01,left stylized eye,drawn eye; abstract eye element,"[0.24, 0.08, 0.23, 0.17]",0.0391,True,0.85,object,unknown,,,uncertain,Independent verifier observation: 'unknown' (alternatives: []),True,eyes / eye-like shapes,True,True,Eyes,True,2_true_removed,2_true_removed,verifier_visual_miss
p2b_0012,p2b_0012_c02,right stylized eye,drawn eye; abstract eye motif,"[0.65, 0.03, 0.25, 0.2]",0.05,True,0.85,object,unknown,abstract drawing; scribble,0.0,uncertain,"Independent verifier observation: 'unknown' (alternatives: ['abstract drawing', 'scribble'])",True,eyes / eye-like shapes,True,True,Eyes,True,2_true_removed,2_true_removed,verifier_visual_miss
p2b_0012,p2b_0012_c03,stylized mouth with large teeth,bared teeth drawing; open mouth drawing,"[0.4, 0.44, 0.58, 0.35]",0.203,True,0.9,object,mouth,teeth; jaw,0.95,verified,"Independent verifier observation: 'mouth' (alternatives: ['teeth', 'jaw'])",True,mouth; teeth,True,True,Teeth,True,1_true_kept_verified,1_true_kept_verified,
p2b_0012,p2b_0012_c04,bare tree drawing,tree silhouette; sketch of tree branches,"[0.47, 0.17, 0.32, 0.27]",0.0864,True,0.88,object,tree,bare tree; dead tree; plant,0.85,verified,"Independent verifier observation: 'tree' (alternatives: ['bare tree', 'dead tree', 'plant'])",False,,,False,,,4_false_kept_verified,4_false_kept_verified,
p2b_0012,p2b_0012_c05,text and handwriting margin area,handwritten notes on left; scrawled text column,"[0.0, 0.0, 0.3, 1.0]",0.3,True,0.85,text_like,abstract artwork,drawing; mixed media art; graffiti style sketch,0.85,rejected,"Independent verifier observation: 'abstract artwork' (alternatives: ['drawing', 'mixed media art', 'graffiti style sketch'])",True,handwritten text,False,True,Text scribbles,False,2_true_removed,2_true_removed,verifier_visual_miss
p2b_0012,p2b_0012_c06,handwritten text 'SPARA VA COLPO',handwritten Italian phrase at bottom; text inscription,"[0.03, 0.94, 0.62, 0.05]",0.031,True,0.75,text_like,handwriting,text; script; notes,0.95,verified,"Independent verifier observation: 'handwriting' (alternatives: ['text', 'script', 'notes'])",True,handwritten text,False,True,Text scribbles,False,1_true_kept_verified,1_true_kept_verified,
p2b_0019,p2b_0019_c00,house,building; home,"[0.03, 0.147, 0.347, 0.796]",0.27621,True,0.98,object,house,drawing of a house; children's drawing of a house,1.0,verified,"Independent verifier observation: 'house' (alternatives: ['drawing of a house', ""children's drawing of a house""])",True,house,True,True,House,False,1_true_kept_verified,1_true_kept_verified,
p2b_0019,p2b_0019_c01,roof,house roof,"[0.03, 0.147, 0.28, 0.392]",0.10976,True,0.95,object,house,drawing of a house; red roof and yellow walls,0.99,verified,"Independent verifier observation: 'house' (alternatives: ['drawing of a house', 'red roof and yellow walls'])",True,roof,False,False,,,1_true_kept_verified,4_false_kept_verified,
p2b_0019,p2b_0019_c02,window,house window,"[0.1, 0.522, 0.076, 0.133]",0.01011,True,0.9,object,window,building window; house window; rectangular window,0.95,verified,"Independent verifier observation: 'window' (alternatives: ['building window', 'house window', 'rectangular window'])",True,windows,False,False,,,1_true_kept_verified,4_false_kept_verified,
p2b_0019,p2b_0019_c03,window,house window,"[0.245, 0.648, 0.082, 0.142]",0.01164,True,0.9,object,window,letter i; monogram; logo,0.6,verified,"Independent verifier observation: 'window' (alternatives: ['letter i', 'monogram', 'logo'])",True,windows,False,False,,,1_true_kept_verified,4_false_kept_verified,
p2b_0019,p2b_0019_c04,sun,sun drawing,"[0.608, 0.003, 0.272, 0.332]",0.0903,True,0.98,object,sun,yellow circle with rays; drawing of a sun,0.99,verified,"Independent verifier observation: 'sun' (alternatives: ['yellow circle with rays', 'drawing of a sun'])",True,sun,True,True,Sun,True,1_true_kept_verified,1_true_kept_verified,
p2b_0019,p2b_0019_c05,sun rays,sunbeams; lines,"[0.608, 0.003, 0.272, 0.332]",0.0903,True,0.88,geometric_shape,sun,yellow circle; drawing of a sun,1.0,verified,"Independent verifier observation: 'sun' (alternatives: ['yellow circle', 'drawing of a sun'])",True,sun,True,True,Sun,True,1_true_kept_verified,1_true_kept_verified,
p2b_0019,p2b_0019_c06,woman figure,mother; stick figure woman,"[0.353, 0.387, 0.162, 0.458]",0.0742,True,0.95,object,drawing of a girl,sketch of a person; child drawing of a woman; stick figure,0.95,verified,"Independent verifier observation: 'drawing of a girl' (alternatives: ['sketch of a person', 'child drawing of a woman', 'stick figure'])",False,,,False,,,4_false_kept_verified,4_false_kept_verified,
p2b_0019,p2b_0019_c07,girl figure,daughter; stick figure girl,"[0.499, 0.57, 0.115, 0.292]",0.03358,True,0.93,object,drawing of a girl,child stick figure; stick figure with yellow dress,0.95,verified,"Independent verifier observation: 'drawing of a girl' (alternatives: ['child stick figure', 'stick figure with yellow dress'])",False,,,False,,,4_false_kept_verified,4_false_kept_verified,
p2b_0019,p2b_0019_c08,boy figure,son; stick figure boy,"[0.6, 0.615, 0.12, 0.28]",0.0336,True,0.92,object,stick figure,drawing of a child; cartoon person,1.0,verified,"Independent verifier observation: 'stick figure' (alternatives: ['drawing of a child', 'cartoon person'])",False,,,False,,,4_false_kept_verified,4_false_kept_verified,
p2b_0019,p2b_0019_c09,man figure,father; stick figure man,"[0.7, 0.463, 0.193, 0.505]",0.09747,True,0.96,object,stick figure,drawing; person,1.0,verified,"Independent verifier observation: 'stick figure' (alternatives: ['drawing', 'person'])",True,adult human figure; child human figure; child human figure; adult human figure,True,False,,,1_true_kept_verified,4_false_kept_verified,
p2b_0019,p2b_0019_c10,grassy hill,ground; grass; hill,"[0.158, 0.842, 0.634, 0.158]",0.10017,True,0.94,object,ground,grass; hill; earth,0.95,verified,"Independent verifier observation: 'ground' (alternatives: ['grass', 'hill', 'earth'])",True,grass / hill,False,True,Hill,True,1_true_kept_verified,1_true_kept_verified,
p2b_0019,p2b_0019_c11,UI arrow icon,left arrow button,"[0.0, 0.038, 0.021, 0.081]",0.0017,True,0.85,symbol,unknown,symbol; icon,0.0,uncertain,"Independent verifier observation: 'unknown' (alternatives: ['symbol', 'icon'])",False,,,False,,,3_false_removed,3_false_removed,
p2b_0019,p2b_0019_c12,UI menu icon,three dots icon,"[0.87, 0.02, 0.05, 0.085]",0.00425,True,0.85,symbol,button,clothing button; circular badge with holes,0.95,rejected,"Independent verifier observation: 'button' (alternatives: ['clothing button', 'circular badge with holes'])",False,,,False,,,3_false_removed,3_false_removed,
p2b_0019,p2b_0019_c13,UI arrow icon,right arrow button,"[0.93, 0.032, 0.05, 0.068]",0.0034,True,0.85,symbol,button,icon; arrow; chevron,0.85,verified,"Independent verifier observation: 'button' (alternatives: ['icon', 'arrow', 'chevron'])",False,,,False,,,4_false_kept_verified,4_false_kept_verified,
p2b_0026,p2b_0026_c00,yellow speech bubble shape,speech bubble; yellow shape; head shape,"[0.248, 0.0, 0.582, 0.373]",0.21709,True,0.88,geometric_shape,chloroplast,cell; organelle; mitochondria,0.6,rejected,"Independent verifier observation: 'chloroplast' (alternatives: ['cell', 'organelle', 'mitochondria'])",True,yellow object / shape,True,True,Yellow oval shape,True,2_true_removed,2_true_removed,verifier_visual_miss
p2b_0026,p2b_0026_c01,white circle eyes/dots,circles; eyes; dots,"[0.316, 0.147, 0.148, 0.183]",0.02708,True,0.82,geometric_shape,unknown,,,uncertain,Independent verifier observation: 'unknown' (alternatives: []),True,two white oval shapes; white background,True,True,White circles,True,2_true_removed,2_true_removed,verifier_visual_miss
p2b_0026,p2b_0026_c02,blue horizontal bars,blue stripes; horizontal rectangles,"[0.413, 0.147, 0.292, 0.157]",0.04584,True,0.79,geometric_shape,unknown,,,uncertain,Independent verifier observation: 'unknown' (alternatives: []),True,two blue elongated shapes,True,True,Blue elongated shapes,True,2_true_removed,2_true_removed,verifier_visual_miss
p2b_0033,p2b_0033_c00,hair,head hair; anime hair,"[0.061, 0.0, 0.73, 0.457]",0.33361,True,0.95,object,anime head,sketch of anime face; cartoon head; crying anime face,0.95,verified,"Independent verifier observation: 'anime head' (alternatives: ['sketch of anime face', 'cartoon head', 'crying anime face'])",True,hair; short curly hair,True,False,,,1_true_kept_verified,4_false_kept_verified,
p2b_0033,p2b_0033_c01,eyes,crying eyes; anime eyes,"[0.229, 0.198, 0.355, 0.207]",0.07348,True,0.9,object,face,eyes; expression,0.85,verified,"Independent verifier observation: 'face' (alternatives: ['eyes', 'expression'])",True,eyes,True,False,,,1_true_kept_verified,4_false_kept_verified,
p2b_0033,p2b_0033_c02,tears,tear tracks; tear lines,"[0.276, 0.323, 0.252, 0.103]",0.02596,True,0.85,object,mouth,lips; facial feature,0.8,rejected,"Independent verifier observation: 'mouth' (alternatives: ['lips', 'facial feature'])",False,,,True,Tears,True,3_false_removed,2_true_removed,bad_bbox_or_crop_construction
p2b_0033,p2b_0033_c03,crying anime boy,character; anime character; boy drawing,"[0.059, 0.0, 0.731, 1.0]",0.731,True,0.95,object,cartoon character,drawing of a boy; anime character,0.95,verified,"Independent verifier observation: 'cartoon character' (alternatives: ['drawing of a boy', 'anime character'])",True,girl crying,True,False,,,1_true_kept_verified,4_false_kept_verified,
p2b_0033,p2b_0033_c04,teddy bear,stuffed toy; plushie,"[0.264, 0.468, 0.231, 0.218]",0.05036,True,0.8,object,unknown,abstract lines; noisy patch,0.0,uncertain,"Independent verifier observation: 'unknown' (alternatives: ['abstract lines', 'noisy patch'])",True,teddy bear,True,False,,,2_true_removed,3_false_removed,verifier_visual_miss
p2b_0033,p2b_0033_c05,crossed arms,arms; folded arms,"[0.126, 0.472, 0.584, 0.326]",0.19038,True,0.85,object,crossed arms,arms crossed over chest,0.85,verified,Independent verifier observation: 'crossed arms' (alternatives: ['arms crossed over chest']),True,arms,True,False,,,1_true_kept_verified,4_false_kept_verified,
p2b_0033,p2b_0033_c06,vertical line pattern,railing; fence; background grid,"[0.0, 0.0006, 0.825, 0.999]",0.82417,True,0.7,geometric_shape,drawing of a crying boy,sketch of a character; anime art,0.95,rejected,"Independent verifier observation: 'drawing of a crying boy' (alternatives: ['sketch of a character', 'anime art'])",True,background lines / frame,False,False,,,2_true_removed,3_false_removed,bad_bbox_or_crop_construction
