experiment_id,family,research_question,hypothesis,independent_variable,primary_dependent_variable,secondary_dependent_variables,baseline,controlled_variables,dataset_split_and_leakage_controls,preprocessing_architecture_exceptions,primary_metric,secondary_metrics,hyperparameter_search_space,tuning_budget,n_seeds,est_compute_time,est_memory,est_storage,expected_thesis_value,advancement_rule,stopping_exclusion_criterion,main_confounders_limitations,required_implementation_changes,integration_difficulty,rank
C2,C: interpretable feature baselines,Does a nonlinear classifier (RBF SVM) on the same objective features outperform C1's linear baseline?,H: RBF SVM does not meaningfully outperform logistic regression on these features (falsifiable per the same margin logic as B2),Classifier (RBF SVM vs logistic regression),Validation macro-F1,Same as C1,C1,Same features CSV as C1 (reused); compare-models already supports 'rbf_svm',"Existing fixed train/valid/test folders (2,821/310/557 images); validation split only for all selection; test split untouched by this family; NOT leakage-safe (41% of images are exact/near cross-split duplicates or label conflicts per outputs/phase5/deep/leakage_gate/leakage_report.json) -- results are development-only, not final",None beyond C1's,Macro-F1,Same as C1,"None (fixed sklearn defaults, as already coded)",Zero,3,"Seconds, CPU-only, reusing C1's features CSV",Negligible,Negligible,"Medium -- cheap, already-implemented comparison point",Prefer the simpler C1 unless C2 wins by a resolvable margin,"If no resolvable improvement, retain as a negative result and move on",Same as C1,None -- 'rbf_svm' already implemented in experiments.py,None,Recommended
C3,C: interpretable feature baselines,"Do tree-based models (already-available HistGradientBoostingClassifier / RandomForest / ExtraTrees) capture nonlinear feature interactions better than the linear/kernel baselines, on the same objective features?","H: Tree-based models do not meaningfully outperform C1/C2 on ~54 features x 2,821 rows -- this is a modest dataset for boosting to show a decisive advantage; a null result is expected and informative.","Model family (hist_gradient_boosting, random_forest, extra_trees vs logistic/SVM)",Validation macro-F1,"Same as C1, plus feature-importance rankings (interpretability bonus)",C1,Same features CSV as C1; all three tree methods already implemented in experiments.py,"Existing fixed train/valid/test folders (2,821/310/557 images); validation split only for all selection; test split untouched by this family; NOT leakage-safe (41% of images are exact/near cross-split duplicates or label conflicts per outputs/phase5/deep/leakage_gate/leakage_report.json) -- results are development-only, not final",Tree models do not require StandardScaler (already correctly omitted in the existing _model() implementation) -- only median imputation,Macro-F1,"Same as C1, plus feature importances","None (fixed sklearn defaults, as already coded: n_estimators=400 for RF/ET, max_iter=300 for HGB)",Zero,3,"Low minutes, CPU-only (tree ensembles are somewhat slower to fit than linear models but still fast at this data scale)",Negligible,Model artifacts a few MB each (tree ensembles are larger on disk than linear models),Medium -- feature importances from the winning tree model provide an interpretability angle a thesis can discuss even if raw macro-F1 does not improve,Advance the single best-performing classical model (across C1/C2/C3) to Family D's 'objective features alone' fusion baseline,"If no tree model beats C1 by a resolvable margin, still extract and report feature importances as a standalone interpretability contribution",Same as C1; tree-based feature importances can be misleading under correlated features (many DOAR features are derived from the same segmentation mask) -- report with that caveat,None -- all three already implemented in experiments.py,None,Recommended
C4,C: interpretable feature baselines,"Does adding real HOG (Histogram of Oriented Gradients) texture/edge-orientation features improve on the existing objective features, which currently only have a crude gradient-magnitude proxy (stroke.edge_density) and no true orientation histogram?","H: HOG features add complementary signal not captured by the existing composition/colour features, improving macro-F1 over C1 by a non-trivial margin; falsified if HOG+existing does not exceed existing-alone (C1) by a resolvable margin, since drawings' stroke orientation may not be a strong emotion signal.",Feature set (existing objective features vs existing+HOG),"Validation macro-F1 (existing+HOG vs existing-alone, C1)",Same as C1,C1,Same classifier (logistic regression) and splits as C1; only the feature set differs,"Existing fixed train/valid/test folders (2,821/310/557 images); validation split only for all selection; test split untouched by this family; NOT leakage-safe (41% of images are exact/near cross-split duplicates or label conflicts per outputs/phase5/deep/leakage_gate/leakage_report.json) -- results are development-only, not final; HOG feature extraction must run once per image (train/valid/test alike) with no split-dependent parameters",HOG needs a fixed cell/block size and orientation-bin count decided once (not tuned on validation repeatedly) to avoid leakage through parameter search,Macro-F1,Same as C1,"HOG parameters fixed a priori (e.g. 8x8 cells, 9 orientation bins, standard defaults) -- not searched, to avoid a hidden validation-leakage path",Zero HOG-parameter search; same classifier budget as C1,3,"HOG extraction: CPU, likely a few minutes for ~3,688 images (order-of-magnitude, not measured); classifier fits: seconds",Negligible,A few extra MB in the features CSV (HOG typically produces dozens to low hundreds of values per image depending on cell grid),"Medium -- directly tests whether a textbook interpretable feature family adds value beyond the project's existing bespoke features, a clean ablation","If HOG improves C1 by a resolvable margin, include it in the Family C shortlist submitted to Family D fusion","If no resolvable improvement, retain as a documented negative result -- do not add further hand-crafted feature families (e.g. LBP, Gabor) speculatively",HOG is sensitive to image resolution/scale normalization -- must resize consistently with the rest of the pipeline (224x224 or a documented alternative) before extraction,"New: a HOG extractor function added to features.py (or a sibling module), using either scikit-image's skimage.feature.hog (not currently installed -- small new dependency) or OpenCV's cv2.HOGDescriptor (already installed, avoids a new dependency)","Low-medium -- new feature code, but follows the exact FeatureValue/serialize_feature_row pattern already established in features.py",Recommended
C5,C: interpretable feature baselines,"Which existing DOAR objective feature families (quality, segmentation, composition, colour, stroke) actually carry emotion-classification signal, using the project's own already-built feature-ablation tool?","H: Not all feature families contribute equally; composition and colour are hypothesized to carry more signal than quality (which is largely a technical/scanning-artifact family) -- to be confirmed or refuted by the ablation, not assumed.","Feature family included/excluded (quality, segmentation, composition, colour, stroke)",Macro-F1 delta when each family is dropped,Per-class F1 delta per dropped family,C1 (all families included),"Uses the existing run-ablation CLI / ablation.py::run_feature_ablation unmodified, same features CSV as C1","Existing fixed train/valid/test folders (2,821/310/557 images); validation split only for all selection; test split untouched by this family; NOT leakage-safe (41% of images are exact/near cross-split duplicates or label conflicts per outputs/phase5/deep/leakage_gate/leakage_report.json) -- results are development-only, not final",None -- reuses C1's features CSV,Macro-F1 delta (dropped-family vs full),Per-class F1 delta,None (ablation_configs() already defines the drop-family grid),Zero,"3 (matches run_feature_ablation's default seeds=(42,123,2026))","Low minutes, CPU-only (5-6 ablation configs x 3 seeds, each a fast classical-model fit)",Negligible,Negligible (a small results JSON/CSV),"High -- directly interpretable, thesis-ready evidence about which feature families matter, using a tool that already exists and has never been run under this manifest","Always report -- this is a diagnostic, not a competitive candidate",N/A,Ablation results are specific to the linear/whichever classifier the tool uses internally -- verify which classifier ablation.py uses before over-generalizing the conclusion to tree/kernel models,None -- run-ablation CLI already exists,None,Recommended
D1,D: fusion,How much does fusing image-model output with objective features improve over either signal alone?,H: Image-alone (best deep CNN) outperforms objective-features-alone (C1-C3 winner); fusion of the two outperforms both alone by a margin exceeding seed variability -- each clause independently falsifiable by the actual 3-way comparison.,Information source (image-model alone vs objective-features alone vs fused),Validation macro-F1 for each of the 3 arms,"Accuracy, balanced accuracy, ECE, per-class F1, McNemar-style per-sample agreement/disagreement between arms",Best deep CNN alone (efficientnet_b0 or the Family A shortlist winner) and best classical-features model alone (C1-C3 winner),"Same 3 seeds, same splits, same evaluation code across all 3 arms","Existing fixed train/valid/test folders (2,821/310/557 images); validation split only for all selection; test split untouched by this family; NOT leakage-safe (41% of images are exact/near cross-split duplicates or label conflicts per outputs/phase5/deep/leakage_gate/leakage_report.json) -- results are development-only, not final",None beyond each arm's own established preprocessing,Macro-F1,"Accuracy, balanced accuracy, ECE, per-class F1, disagreement rate",Fusion method's own small grid only (see D2-D4); no search on the two alone-arms (already fixed from Family A/C),Equal to whichever of D2/D3/D4 fusion method is used to instantiate this comparison,3,"No new training -- reuses A/C outputs; fusion fit itself is fast (CPU, sklearn)",Negligible beyond the reused checkpoints/features,Negligible (a small fusion-model artifact),"High -- directly answers 'is fusion worth the added complexity', the central Family D research question","If fused beats both alone-arms by a resolvable margin, fusion becomes a shortlist candidate for the locked final evaluation; otherwise, prefer the simpler single-source model","If fusion does not exceed the better of the two alone-arms by a resolvable margin, report this as a real negative result -- do not keep trying additional fusion methods hoping for a win","Objective features and CNN predictions are both derived from the same image, so some correlation (not independence) between the two 'alone' arms is expected and should temper claims about fusion's added value",None (uses D2/D3/D4's already-existing machinery),None,Recommended
D2,D: fusion,Does early fusion of frozen DINOv2 embeddings with objective features (via the existing train_primary_fusion) outperform either alone?,H: Early-fused DINOv2+objective-features outperforms DINOv2-alone (B1) and objective-features-alone (C1) by a margin exceeding seed variability -- falsifiable by direct comparison.,"Fusion method applied to (DINOv2 embeddings, objective features)",Validation macro-F1,Same as D1,B1 (DINOv2 alone) and C1-C3 winner (features alone),"Same embeddings.npz as B1, same features CSV as C1; train_primary_fusion's existing PRIMARY_METHODS","Existing fixed train/valid/test folders (2,821/310/557 images); validation split only for all selection; test split untouched by this family; NOT leakage-safe (41% of images are exact/near cross-split duplicates or label conflicts per outputs/phase5/deep/leakage_gate/leakage_report.json) -- results are development-only, not final","Dimensional imbalance control: DINOv2 embeddings (384-dim) vastly outnumber the ~54 objective features -- must apply PCA (already imported in fusion/trainer.py) or comparable dimensionality control on the embedding side before concatenation, or use a fusion method that down-weights the larger block, to avoid the objective features being drowned out",Macro-F1,Same as D1,"PCA n_components in {32, 64, 128} for the embedding block (if PCA-based early fusion is used); classifier regularization strength as in B1/C1","Small grid (comparable to B1/C1's own budgets), validation-selected",3,"Low minutes, CPU-only, reusing B1's embeddings and C1's features (no new extraction)",Negligible,Negligible (fusion model artifact),High -- directly tests the 'pretrained embeddings + interpretable features' fusion hypothesis named in the research programme,"Same as D1's general rule, applied to this specific arm",Same as D1,"Same domain-gap confounder as B1, plus the dimensional-imbalance risk noted above -- must be explicitly controlled and reported, not just assumed handled","Verify/extend train_primary_fusion's PCA-based dimensional-balancing path for this specific (384-dim embedding, ~54-dim feature) case; likely a small extension, not new infrastructure",Low,Recommended
D3,D: fusion,Does early fusion of the shortlisted deep CNN's own penultimate-layer embeddings (already extractable via embeddings.py's 'finetuned:' path) with objective features outperform either alone?,"H: CNN penultimate embeddings (already domain-adapted via fine-tuning) fused with objective features outperforms DINOv2-based fusion (D2), since the CNN embeddings are specifically fine-tuned on this drawing dataset rather than generic natural images.",Embedding source (CNN penultimate-layer vs DINOv2) in an otherwise identical fusion pipeline,Validation macro-F1,Same as D1,D2 (DINOv2-based fusion) and the Family A shortlist winner alone,"Same fusion code/grid as D2; only the embedding source differs (extract-embeddings --deep-comparison or --backbone finetuned:<checkpoint>, already implemented)","Existing fixed train/valid/test folders (2,821/310/557 images); validation split only for all selection; test split untouched by this family; NOT leakage-safe (41% of images are exact/near cross-split duplicates or label conflicts per outputs/phase5/deep/leakage_gate/leakage_report.json) -- results are development-only, not final","Penultimate-layer dimensionality varies by architecture (e.g. 1280 for efficientnet_b0's classifier input, 512 for resnet18) -- same PCA/dimensional-balancing control as D2 applies, tuned per architecture",Macro-F1,Same as D1,Same PCA/classifier grid pattern as D2,Same as D2,3,"Embedding extraction reuses the already-trained Family A checkpoint (inference-only, fast); classifier fits are seconds",Negligible,"Embeddings .npz size scales with penultimate-layer width x 3,688 images -- still well under 50MB for any architecture in this matrix","High -- this is the 'is fine-tuning worth it before fusing' question, directly comparable against D2's generic-embedding fusion",Compare D2 vs D3 directly; whichever wins (or ties within seed variability) informs whether fusion should be built on generic SSL embeddings or task-fine-tuned ones for the final shortlist,Same as D1,D3's embeddings depend on which single checkpoint is chosen as 'the' fine-tuned source -- document that choice explicitly (mirrors Phase 6's checkpoint-selection transparency),None -- 'finetuned:' embedding extraction already exists in embeddings.py,None,Recommended
D4,D: fusion,"Does late fusion of CNN class probabilities with an objective-feature classifier's probabilities (via the existing fusion/late.py) outperform either alone, and how does it compare to early fusion (D2/D3)?","H: Late fusion (combining two already-trained models' output probabilities) performs comparably to early fusion (D2/D3) but with lower implementation/retraining cost, since no joint representation learning is required -- falsifiable by direct comparison of D4 vs D2/D3.","Fusion stage (late: probability-level vs early: feature/embedding-level, D2/D3)",Validation macro-F1,"Same as D1, plus calibration of the fused probabilities (ECE)","D2, D3, and each arm alone","Uses the existing train_late_fusion / apply_late_fusion CLI (equal_late_fusion, validation_weighted_late_fusion, and logistic_probability_meta methods already implemented in fusion/probability.py and fusion/late.py)","Existing fixed train/valid/test folders (2,821/310/557 images); validation split only for all selection; test split untouched by this family; NOT leakage-safe (41% of images are exact/near cross-split duplicates or label conflicts per outputs/phase5/deep/leakage_gate/leakage_report.json) -- results are development-only, not final; late-fusion weight-fitting (if using the validation-weighted or logistic-meta method) uses validation probabilities only, never test, matching the existing calibrate/evaluate convention",None -- operates purely on already-exported probability files,Macro-F1,"Same as D1, plus ECE of the fused output","Late-fusion method choice itself (equal / validation-weighted / logistic-meta) is the only 'hyperparameter', already enumerable via the existing 3 methods","3 methods x 3 seeds = 9 fits, all fast (CPU, small logistic-meta model at most)",3,Under 1 minute total -- pure post-hoc combination of already-exported probabilities,Negligible,Negligible (late_fusion_model.json artifacts),"High -- directly answers the 'early vs late fusion, and is either worth the complexity' question with a controlled, cheap comparison","If any late-fusion method matches or exceeds D2/D3 within seed variability, prefer it for the final shortlist on simplicity grounds (Phase 5's own 'prefer the simpler model' convention)",Same as D1,"Late fusion cannot learn new joint representations (unlike early fusion) -- if it underperforms, that specifically indicates the value lies in joint (not post-hoc) combination, a real and useful negative result",None -- train_late_fusion/apply_late_fusion already fully implemented,None,Recommended
E1,E: fine-tuning ablations,Does the backbone-freezing depth (frozen vs partial-unfreeze-at-epoch-3 [current default] vs full fine-tune from epoch 0) change validation macro-F1 for the Family A shortlist winner?,"H: The current default (freeze_epochs=3, partial) is not assumed optimal -- full fine-tuning (freeze_epochs=0) or a fully-frozen backbone (freeze_epochs=10) may perform comparably or better; to be settled by the actual 3-way comparison, not assumed.","freeze_epochs in {0 (full FT from epoch 0), 3 (current default), 10 (frozen for the whole budget)}",Validation macro-F1,"Accuracy, ECE, train time (frozen should be fastest), overfitting gap",freeze_epochs=3 (the existing Phase3A-6 default),"Same manifest/splits as Phase 3A-6; 224x224 image size; batch 4 / grad-accum 4 (effective 16); 10-epoch budget; AdamW head-lr 3e-4 / backbone-lr 1e-4; ReduceLROnPlateau; freeze_epochs=3 unless the IV; same checkpoint-selection rule (best validation macro-F1); same evaluation code (export-probabilities + evaluate-predictions on valid) (freeze_epochs is the sole deliberate exception to CONTROLLED, being the IV itself)","Existing fixed train/valid/test folders (2,821/310/557 images); validation split only for all selection; test split untouched by this family; NOT leakage-safe (41% of images are exact/near cross-split duplicates or label conflicts per outputs/phase5/deep/leakage_gate/leakage_report.json) -- results are development-only, not final","Applies to the single Family A shortlist winner architecture only, not all screened architectures (equal-budget constraint)",Macro-F1,"Accuracy, ECE, train time, train-valid F1 gap","freeze_epochs in {0, 3, 10} only -- a 3-point sweep, not a continuous search","3 configs x 3 seeds = 9 runs, equal per-run epoch budget (10 epochs) to the existing protocol",3,~500-800s/run x 9 runs (using the shortlist winner's own Phase4/5 measured per-seed time as the per-run estimate) = roughly 1.25-2 hours total,Same as the shortlist winner's existing Phase4/5 measured usage (already fits in 6GB),"Checkpoint size x 9 runs (2 configs beyond the existing freeze_epochs=3 baseline, which already has 3 seeds' worth of checkpoints from Phase4/5) -- roughly 2x the shortlist winner's existing Phase5 storage footprint","High -- directly tests a specific, previously-unquestioned protocol default, exactly the kind of ablation a thesis committee will ask about","Adopt whichever freeze_epochs value wins by a resolvable margin as the new default for any further work on this architecture; if no resolvable difference, keep the existing default (freeze_epochs=3) on simplicity/precedent grounds","If none of the 3 configs differ by a resolvable margin, report this as a genuine null result (freezing depth does not matter much here) and do not sweep further intermediate values","Full fine-tuning (freeze_epochs=0) with only 2,821 training images risks catastrophic forgetting of the pretrained representation -- watch for a validation-loss increase after epoch 1-2 as a specific failure signature",None -- freeze_epochs is already a train_image_model() parameter,None,Recommended
E2,E: fine-tuning ablations,"Does focal loss (down-weighting easy examples, up-weighting hard/minority-class examples) outperform the current class-weighted cross-entropy for the persistent Fear-class weakness observed in every architecture tested so far (Phase 3A-6)?","H: Focal loss improves Fear-class recall/F1 specifically (the class with the smallest support in every split: 45/310 valid, 130/557 test) without materially harming the other 3 classes' F1, relative to the existing class-weighted cross-entropy; falsifiable if Fear-F1 does not improve by a resolvable margin, or if it improves only by degrading another class.","Loss function (focal loss, gamma in {1, 2} vs the existing class-weighted CrossEntropyLoss with label_smoothing=0.05)",Validation macro-F1,"Per-class F1 (Fear specifically), ECE, NLL",The existing class-weighted CrossEntropyLoss (current default for all Phase3A-6 runs),Same manifest/splits as Phase 3A-6; 224x224 image size; batch 4 / grad-accum 4 (effective 16); 10-epoch budget; AdamW head-lr 3e-4 / backbone-lr 1e-4; ReduceLROnPlateau; freeze_epochs=3 unless the IV; same checkpoint-selection rule (best validation macro-F1); same evaluation code (export-probabilities + evaluate-predictions on valid) (loss function is the sole deliberate exception),"Existing fixed train/valid/test folders (2,821/310/557 images); validation split only for all selection; test split untouched by this family; NOT leakage-safe (41% of images are exact/near cross-split duplicates or label conflicts per outputs/phase5/deep/leakage_gate/leakage_report.json) -- results are development-only, not final",Applies to the Family A shortlist winner and (optionally) the E1 winning freeze_epochs configuration,Macro-F1,"Per-class F1 (Fear), ECE, NLL","Focal loss gamma in {1.0, 2.0} (standard values from the original focal-loss paper); alpha left at class-weighted defaults to isolate the gamma effect","2 gamma values x 3 seeds = 6 runs, equal epoch budget to the baseline",3,~500-800s/run x 6 runs (same per-run cost as E1) = roughly 50-80 minutes total,Same as the shortlist winner's existing usage,~2x the shortlist winner's Phase5 checkpoint footprint for the 2 new gamma configs,"High -- directly targets a real, already-documented weakness (Fear misclassified as Angry in every architecture, every phase from 3A through 6) with a principled, falsifiable intervention",Adopt focal loss as the new default only if Fear-F1 improves by a resolvable margin without a resolvable macro-F1 regression on the other 3 classes,"If focal loss does not improve Fear-F1 by a resolvable margin, or does so only by trading off another class, retain the existing class-weighted cross-entropy and report the negative result -- do not sweep further gamma/alpha combinations speculatively","Fear's weakness may be driven by genuine visual ambiguity with Angry (a labeling/dataset property) rather than a loss-function-fixable optimization issue -- a null result here is informative either way, not a failure","New: a FocalLoss nn.Module and a loss_name parameter threaded through train_image_model() (currently hardcoded to CrossEntropyLoss) -- small, well-scoped addition, same pattern as the existing optimizer_name/scheduler_name parameterization","Low-medium -- new loss class plus one new parameter and a conditional branch in trainers.py, with a regression test",Recommended
E3,E: fine-tuning ablations,"Does the existing 'conservative' augmentation policy actually help, compared to no augmentation at all -- a comparison never directly run in Phase 3A-6 (only different augmentation strengths were ever available, never 'off')?","H: Augmentation is not assumed to help by default -- for a drawing-classification task with already-limited data (2,821 train images), augmentation could help (more effective data) or hurt (drawing-specific invariances like exact stroke position may carry real signal that generic photographic augmentations disrupt); settled by direct comparison, not assumed.",Augmentation profile ('none' [new] vs the existing 'conservative' default),Validation macro-F1,"Accuracy, ECE, overfitting gap (train-valid F1 divergence)",The existing 'conservative' profile (current default for all Phase3A-6 runs),Same manifest/splits as Phase 3A-6; 224x224 image size; batch 4 / grad-accum 4 (effective 16); 10-epoch budget; AdamW head-lr 3e-4 / backbone-lr 1e-4; ReduceLROnPlateau; freeze_epochs=3 unless the IV; same checkpoint-selection rule (best validation macro-F1); same evaluation code (export-probabilities + evaluate-predictions on valid) (augmentation profile is the sole deliberate exception),"Existing fixed train/valid/test folders (2,821/310/557 images); validation split only for all selection; test split untouched by this family; NOT leakage-safe (41% of images are exact/near cross-split duplicates or label conflicts per outputs/phase5/deep/leakage_gate/leakage_report.json) -- results are development-only, not final",Applies to the Family A shortlist winner,Macro-F1,"Accuracy, ECE, train-valid F1 gap","augmentation in {'none' (new), 'conservative' (existing baseline)} -- a 2-point comparison, not a full strength sweep (moderate/strong already exist and can be added as a follow-up only if 'none' vs 'conservative' shows augmentation helps)","2 configs x 3 seeds = 6 runs, equal epoch budget",3,~500-800s/run x 6 runs (3 of which -- 'conservative' -- may already exist from Phase4/5 and not need rerunning if the shortlist winner matches) = roughly 25-65 minutes of genuinely new compute,Same as the shortlist winner's existing usage,~1x the shortlist winner's Phase5 checkpoint footprint for the 1 new 'none' config,"Medium-high -- tests a foundational, previously-unquestioned default with a real, falsifiable comparison","Adopt whichever profile wins by a resolvable margin as the new default; if no resolvable difference, keep 'conservative' on precedent grounds","If no resolvable difference, report as a null result; do not proceed to a moderate/strong sweep unless 'none vs conservative' itself shows a resolvable, augmentation-helps direction","A single held-out validation split (n=310) limits the resolution of a 2-point comparison -- interpret a small observed difference cautiously, consistent with Phase 5's n=3-seed evidence-strength discipline","New: a 'none' entry (empty ops list) added to augmentation_ops()/build_transforms()'s profiles dict in augmentations.py -- trivial, ~4 lines",Very low,Recommended
E4,E: fine-tuning ablations,"Among the 3 already-implemented augmentation strengths (conservative/moderate/strong), does a stronger policy help or hurt, IF E3 establishes that augmentation helps at all?","Conditional on E3 -- to be set based on E3's actual outcome, not assumed in advance","Augmentation strength (moderate, strong vs conservative)",Validation macro-F1,Same as E3,E3's winning profile,Same manifest/splits as Phase 3A-6; 224x224 image size; batch 4 / grad-accum 4 (effective 16); 10-epoch budget; AdamW head-lr 3e-4 / backbone-lr 1e-4; ReduceLROnPlateau; freeze_epochs=3 unless the IV; same checkpoint-selection rule (best validation macro-F1); same evaluation code (export-probabilities + evaluate-predictions on valid),"Existing fixed train/valid/test folders (2,821/310/557 images); validation split only for all selection; test split untouched by this family; NOT leakage-safe (41% of images are exact/near cross-split duplicates or label conflicts per outputs/phase5/deep/leakage_gate/leakage_report.json) -- results are development-only, not final",None -- moderate/strong already fully implemented in augmentations.py,Macro-F1,Same as E3,"augmentation in {'moderate', 'strong'} (2 additional points beyond E3's 2)","2 configs x 3 seeds = 6 runs, only IF E3's advancement rule fires",3,"Same per-run cost as E3 x 6 runs = roughly 50-80 minutes, conditional",Same as E3,"~2x the shortlist winner's Phase5 footprint, conditional","Low unless E3 shows augmentation helps -- explicitly conditional, not to be run speculatively",N/A -- this IS the advancement path from E3,Do not run at all if E3 shows no resolvable augmentation benefit -- the core 'no post-hoc expansion' governance rule applied concretely,Same as E3,None,None (conditional),Optional (conditional)
