feature_id,display_name,exact_definition,formula_or_algorithm,input_pixels_or_region,image_scope,unit,expected_range,higher_value_means,lower_value_means,implementation_status,measurement_type,proxy_or_direct,known_confounders,what_it_does_NOT_measure,static_image_valid,requires_segmentation_mask,requires_process_data,reliability_status,psychological_interpretation_status,notes
line.direction_cluster_count,Direction-cluster count,Count of orientation histogram bins whose weight exceeds 30% of the single largest bin's weight.,"cluster_count = count(bin_probability > 0.3 * max(bin_probability)), over the same 18-bin histogram.",Same as line.dominant_orientation_code,WHOLE_DRAWING,count (integer-valued float),1 to 18,Multiple distinct dominant directions present,One (or few) dominant direction(s),IMPLEMENTED,discrete,proxy,"The 30%-of-max threshold is a documented, uncalibrated constant.",Spatial location of each direction cluster (a purely histogram-level count).,yes,no,no,uncalibrated threshold constant,OBJECTIVE_ONLY,
stroke.junction_corner_density_proxy,Junction/corner density (proxy),"Density of Harris corner-response peaks over the foreground mask, normalized by foreground area.","response = cv2.cornerHarris(mask, blockSize=5, ksize=3, k=0.04); corners = response > 0.01*max(response); density = count(corners)/foreground_area.",Whole-image foreground mask treated as a binary image,WHOLE_DRAWING,corner-responses per foreground pixel,0.0 to ~1.0 (small drawings can have a high ratio),"Many line crossings, corners, junctions, or sharp bends","Few crossings/corners (smooth, mostly-parallel strokes)",IMPLEMENTED,continuous,proxy,cornerHarris cannot distinguish a TRUE line-crossing (X/T junction) from a sharp single-stroke bend or a small shape's own corner -- all three trigger the same response.,"True skeleton-graph line-crossing count (needs skeletonization/vectorization -- not available in this OpenCV build, no ximgproc/scikit-image).",yes,no,no,proxy only -- renamed from 'crossing density' in Phase G0.1 Step 4D to avoid overclaiming,OBJECTIVE_ONLY,Renamed from stroke.crossing_density. True crossing detection is deferred to E-Graphic.
stroke.density_mean,Stroke-density map (mean),Fraction of the whole image occupied by the foreground mask.,stroke_density_mean = mean(foreground_mask) over the entire image (mask.mean()).,Whole image,WHOLE_DRAWING,"ratio, 0..1",0.0 to 1.0,Denser/more crowded drawing,Sparser drawing,IMPLEMENTED,continuous,direct,"Same as composition.foreground_coverage (analysis.py) -- this is that same measurement re-exposed under the formal-feature naming scheme, not a second independent computation.",Semantic content density (number of distinct objects) -- purely a pixel-fraction measurement.,yes,no,no,stable (direct pixel-fraction computation),OBJECTIVE_ONLY,
stroke.scribble_candidate_score,Scribble candidate score,Exploratory composite: stroke_density_mean * orientation_entropy.,scribble_candidate_score = stroke.density_mean * line.orientation_entropy (a simple product of two already-computed values -- no other weighting).,Derived from stroke.density_mean and line.orientation_entropy,WHOLE_DRAWING,"unitless composite, 0..1",0.0 to 1.0,Dense AND multidirectional marks (candidate for 'scribble'),Sparse or single-direction marks,IMPLEMENTED,continuous,proxy,A dense but perfectly single-direction hatch pattern scores LOW despite being visually dense; this composite has NOT been validated against any labelled scribble dataset.,"A true, validated scribble detector -- the PDF's own Appendix G note lists local coherence, short-stroke density, curvature, and intersections as additional components a real detector would need; none of that additional weighting is invented here.",yes,no,no,EXPLORATORY -- renamed from 'scribble density' in Phase G0.1 Step 4C to avoid implying a validated detector,OBJECTIVE_ONLY,Renamed from stroke.scribble_density.
colour.chromatic_coverage,Chromatic colour coverage,"Fraction of foreground pixels that are chromatically saturated (neither near-black, near-white, nor grey).",HSV-converted foreground pixels; chromatic = (saturation > 0.15) AND (0.08 < value < 0.98) [0..1-normalized HSV]; chromatic_coverage = mean(chromatic) over the foreground mask.,"Whole-image foreground mask, HSV colour space",WHOLE_DRAWING,"ratio, 0..1",0.0 (fully achromatic) to 1.0 (fully saturated colour),More of the drawing uses saturated colour,More of the drawing is black/grey/white,IMPLEMENTED,continuous,direct,"The 0.15 saturation threshold and 0.08/0.98 value bounds are documented, UNCALIBRATED constants (exploratory pending later calibration); scan colour-cast can shift measured saturation.",composition.foreground_coverage (how much of the page has ANY mark) -- these are genuinely different measurements and must never be conflated; a full-page graphite drawing has high foreground_coverage but near-zero chromatic_coverage.,yes,no,no,EXPLORATORY -- thresholds not calibrated against a labelled dataset,OBJECTIVE_ONLY,"Renamed/fixed in Phase G0.1 Step 4B -- previously this key literally reused composition.foreground_coverage, which was the exact conflation this fix addresses."
colour.diversity,Colour diversity,"Count of the fixed colour bins (red/green/blue/yellow/dark) whose pixel proportion exceeds 2% of the foreground -- reused directly from analysis.py, not recomputed.",Reused verbatim from analysis['colour']['colour_diversity'] (see analysis.py::_colour).,"Whole-image foreground mask (computed by analysis.py, not this module)",WHOLE_DRAWING,"count, 0..5",0 to 5,More distinct colour bins meaningfully present,Monochrome/near-monochrome drawing,IMPLEMENTED,discrete,direct,Only 5 coarse colour bins exist (red/green/blue/yellow/dark) -- cannot distinguish finer palette differences.,Chromatic saturation strength (see colour.chromatic_coverage).,yes,no,no,"stable (deduplicated reuse of an existing, already-tested computation)",OBJECTIVE_ONLY,
colour.brightness,Brightness/darkness palette,Mean greyscale brightness over the WHOLE image (including background/paper).,brightness = mean(grayscale_image) / 255.,Whole image (not restricted to foreground),WHOLE_DRAWING,"normalized brightness, 0..1",0.0 (all black) to 1.0 (all white),Lighter overall palette (more white paper visible / lighter marks),Darker overall palette,IMPLEMENTED,continuous,direct,Dominated by paper/background colour when foreground coverage is low; scan exposure/white balance.,Foreground-only darkness (see line.darkness_mean for that).,yes,no,no,stable (direct pixel statistic),OBJECTIVE_ONLY,
colour.saturation,Saturation,Mean HSV saturation over foreground pixels only.,saturation = mean(HSV_saturation_channel[foreground_mask]) / 255.,"Whole-image foreground mask, HSV colour space",WHOLE_DRAWING,"normalized saturation, 0..1",0.0 (grey/achromatic) to 1.0 (fully saturated),More vivid colour in the marks,More muted/grey marks,IMPLEMENTED,continuous,direct,Scan/photo colour cast; JPEG compression can shift saturation slightly.,Coverage/extent of colour (see colour.chromatic_coverage).,yes,no,no,stable (direct pixel statistic),OBJECTIVE_ONLY,
fill.global_spatial_density_uniformity,Global spatial density uniformity,Inverse-variance uniformity of foreground density across an 8x8 grid of the WHOLE image.,Divide the image into an 8x8 grid; density_i = mean(mask) in cell i; uniformity = 1 / (1 + variance(density_i) / mean(density_i)^2).,"Whole image, partitioned into a fixed 8x8 grid",WHOLE_DRAWING,"unitless ratio, 0..1",0.0 (very patchy) to 1.0 (perfectly even density across the grid),Marks spread evenly across the page,Marks concentrated in a few regions,IMPLEMENTED,continuous,proxy,"A fixed 8x8 grid is a documented, uncalibrated resolution choice; very small drawings may not fill even one grid cell.","region_fill_uniformity (how evenly ONE specific object's interior is coloured) -- that needs a per-object segmentation mask DOAR does not yet have, and stays EXPERIMENT_CANDIDATE.",yes,no,no,uncalibrated grid resolution,OBJECTIVE_ONLY,Renamed from fill.uniformity in Phase G0.1 Step 4E to make the whole-drawing vs. per-object distinction explicit.
symmetry.bilateral,Bilateral symmetry,1 minus the fraction of foreground-mask pixels that disagree between the image and its horizontal mirror.,"symmetry = 1 - mean(XOR(mask, fliplr(mask))).",Whole-image foreground mask,WHOLE_DRAWING,"ratio, 0..1",0.0 (fully asymmetric) to 1.0 (perfectly left-right symmetric),More left-right symmetric composition,More asymmetric composition,IMPLEMENTED,continuous,direct,"Only tests LEFT-RIGHT (vertical-axis) symmetry, never top-bottom or rotational symmetry; a shape drawn off-center scores low even if intrinsically symmetric.","Symmetry of one specific object independent of its position on the page (needs a per-object mask -- see 'Local symmetry', EXPERIMENT_CANDIDATE).",yes,no,no,stable (direct pixel computation),OBJECTIVE_ONLY,
symmetry.spacing_regularity,Spacing regularity,Inverse coefficient-of-variation of nearest-neighbour centroid distances across all foreground connected components.,"Requires >=3 connected components (else missing). For each component centroid, find its nearest OTHER centroid's distance; regularity = 1 / (1 + std(nearest_distances)/mean(nearest_distances)).",Centroids of all 8-connected foreground components,WHOLE_DRAWING,"unitless ratio, 0..1",0.0 (irregular spacing) to 1.0 (perfectly even spacing),Repeated elements are evenly spaced (e.g. a grid),Repeated elements are irregularly spaced,IMPLEMENTED,continuous,proxy,Requires at least 3 separate components; a single connected drawing (e.g. one continuous outline) cannot be measured (honestly reported missing).,Spacing of parts WITHIN one object (only between separate components).,yes,no,no,stable for its stated purpose,OBJECTIVE_ONLY,
scene.detail_density,Detail density,Fraction of foreground-mask pixels that are also Canny edge pixels.,"edges = Canny(gray, 50, 150); detail_density = mean(edges > 0 restricted to the foreground mask).",Whole-image foreground mask,WHOLE_DRAWING,"ratio, 0..1",0.0 to 1.0,More fine detail/edges relative to the marked area,"Simpler, less-detailed marks",IMPLEMENTED,continuous,proxy,"Canny thresholds (50/150) are fixed, uncalibrated constants; heavy shading raises this even without added semantic detail.","Semantic object/detail COUNT (a purely edge-density statistic, not an object detector).",yes,no,no,"fixed constants, not calibrated against a labelled dataset",OBJECTIVE_ONLY,
