rule_id,observable_feature,source_claim,source_pdf_page_section,possible_interpretation_as_written,external_evidence_summary,evidence_direction,evidence_strength_as_written,concern_domain,static_image_detectable,requires_process_data,requires_longitudinal_data,requires_absolute_scale_or_context,alternative_explanations,clinical_question_to_ask_child_or_caregiver,context_transfer_justification,current_implementation_status,allowed_output_level,registry_v2_status,evidence_family,confidence_ceiling
PSY_AR_CIRCLES_011,circles,رسم الدوائر يعبر عن الشعور بالوحدة والحاجة إلى شخص قريب يقف بجانبه.,التحليل النفسي للصور.pdf p.1 — الأشكال الهندسية — الدوائر,"unity, wholeness, or need for closeness; per the Arabic source specifically, loneliness and need for support","Common heuristic, not standardized.",insufficient,Speculative,social_withdrawal_related,yes,no,no,no,"May reflect current developmental drawing stage, practiced skill, or simple preference. | May reflect what the child has recently been taught or practiced drawing at school.",Would you be willing to ask your child about the circles in this drawing?,expert_review_required,DETECTOR_UNAVAILABLE,disabled,already_in_production_registry,shape_symbolism,0.1
PSY_AR_TRANSPORT_012,vehicles,رسم وسائل النقل يشير إلى حب السفر والعطلة والاجتماعية والانفتاح والمرح والمغامرة وحب الحياة.,التحليل النفسي للصور.pdf p.1 — رسم وسائل النقل (Transportation),"loves travel/vacations, social, outgoing, playful, adventurous",No strong literature basis found.,insufficient,Speculative,positive_affect_or_social_engagement,yes,no,no,no,"May reflect a specific recent event, request, or interest rather than a general personality trait. | May reflect the drawing prompt rather than a spontaneous choice.",Would you be willing to ask your child about the vehicles in this drawing?,expert_review_required,DETECTOR_UNAVAILABLE,disabled,already_in_production_registry,object_symbolism,0.1
PSY_AR_HEARTS_013,hearts,رسم القلوب يدل على شخصية عاطفية أو عاشقة واجتماعية ورومانسية لطيفة وقادرة على جذب قلوب الآخرين.,التحليل النفسي للصور.pdf p.2 — رسم القلوب (Heart drawing),"affectionate/loving personality, social, romantic, able to attract others","Symbolic meaning is culturally obvious, not psychometric.",insufficient,Weak / common-sense,positive_affect_or_social_engagement,yes,no,no,no,"May reflect a specific recent event, request, or interest rather than a general personality trait. | May reflect the drawing prompt rather than a spontaneous choice.",Would you be willing to ask your child about the hearts in this drawing?,expert_review_required,DETECTOR_UNAVAILABLE,disabled,already_in_production_registry,object_symbolism,0.15
PSY_AR_SIZE_HALF_014,coverage_about_half,إذا غطت الرسمة نحو 50% من الورقة فقد تدل على الانفتاح أحياناً والانطواء أحياناً أخرى.,التحليل النفسي للصور.pdf p.2 — حجم الرسم (Drawing size),"outgoing at times and introverted at other times -- bidirectional by the source's own wording, so not mapped to a single-direction construct",No standardized cutoff.,conflicting,Speculative,neutral_descriptive_only_no_construct_proposed,yes,no,no,no,"May reflect available paper space, drawing order, or how much detail the child chose to add, not emotional significance. | May reflect perceived depth/proximity or task instructions rather than self-image (see REF_SIZE_DEPTH_2013).",What made your child decide how much of the page to use for this drawing?,partially_applicable,IMPLEMENTED_UNVALIDATED,individual_heuristic_only,already_in_production_registry,size_composition,0.2
PSY_AR_SIZE_FULL_015,coverage_full,إذا غطت الرسمة كل الورقة فهذا يدل على احترام الشخص العالي لنفسه وتقديره لها.,التحليل النفسي للصور.pdf p.2 — حجم الرسم,high self-respect/self-esteem; English source frames this as expansiveness/strong energy/self-assertion,Page occupation is a common projective heuristic.,insufficient,Weak / mixed,neutral_descriptive_only,yes,no,no,no,"May reflect available paper space, drawing order, or how much detail the child chose to add, not emotional significance. | May reflect perceived depth/proximity or task instructions rather than self-image (see REF_SIZE_DEPTH_2013).",What made your child decide how much of the page to use for this drawing?,partially_applicable,IMPLEMENTED_UNVALIDATED,individual_heuristic_only,already_in_production_registry,size_composition,0.15
PSY_AR_SIZE_SMALL_016,coverage_small,إذا لم تتجاوز الرسمة 20% من الورقة فقد يدل ذلك على عدم الاستقرار أو الخوف.,التحليل النفسي للصور.pdf p.2 — حجم الرسم,instability or fear; English source frames the page-area-fraction version as caution/uncertainty/low confidence,Projective interpretation.,partial,Weak / mixed,anxiety_or_stress_related,yes,no,no,no,"May reflect available paper space, drawing order, or how much detail the child chose to add, not emotional significance. | May reflect perceived depth/proximity or task instructions rather than self-image (see REF_SIZE_DEPTH_2013).",What made your child decide how much of the page to use for this drawing?,partially_applicable,IMPLEMENTED_UNVALIDATED,individual_heuristic_only,already_in_production_registry,size_composition,0.15
PSY_AR_PLACE_TOP_017,placement_top,الرسم في أعلى الصفحة قد يعبر عن شخصية حالمة أو واقع خيالي وصعوبة في التكيف.,التحليل النفسي للصور.pdf p.2 — موقع الرسم (Drawing location),"dreamy personality, fantasy world, difficulty adapting -- does not cleanly fit any of the 12 broad constructs",Projective page-position heuristics.,insufficient,Weak / mixed,neutral_descriptive_only_no_construct_proposed,yes,no,no,no,"May reflect handedness, where the child started drawing, or incidental page layout rather than a stable psychological trait. | Placement effects were found weak and easily masked in the cited literature (REF_PLACEMENT_1992), not validated as fixed meanings.",What made your child choose to draw here on the page?,partially_applicable,IMPLEMENTED_UNVALIDATED,individual_heuristic_only,already_in_production_registry,spatial_placement,0.1
PSY_AR_PLACE_LEFT_018,placement_left,الرسم في الجانب الأيسر يدل على شخصية انطوائية.,التحليل النفسي للصور.pdf p.2 — موقع الرسم,introverted personality; English source adds past orientation/dependence,No strong standard rule found.,insufficient,Speculative,social_withdrawal_related,yes,no,no,no,"May reflect handedness, where the child started drawing, or incidental page layout rather than a stable psychological trait. | Placement effects were found weak and easily masked in the cited literature (REF_PLACEMENT_1992), not validated as fixed meanings.",What made your child choose to draw here on the page?,partially_applicable,IMPLEMENTED_UNVALIDATED,individual_heuristic_only,already_in_production_registry,spatial_placement,0.1
PSY_AR_PLACE_RIGHT_019,placement_right,الرسم في الجانب الأيمن يدل على شخصية منفتحة.,التحليل النفسي للصور.pdf p.2 — موقع الرسم,outgoing personality; English source adds future orientation/outward movement,No strong standard rule found.,insufficient,Speculative,positive_affect_or_social_engagement,yes,no,no,no,"May reflect handedness, where the child started drawing, or incidental page layout rather than a stable psychological trait. | Placement effects were found weak and easily masked in the cited literature (REF_PLACEMENT_1992), not validated as fixed meanings.",What made your child choose to draw here on the page?,partially_applicable,IMPLEMENTED_UNVALIDATED,individual_heuristic_only,already_in_production_registry,spatial_placement,0.1
EN_COMPILED_EYES_MISSING_DETAIL_020,eyes_missing_or_undetailed,"Eyes with little detail or missing eyes: May suggest withdrawal, avoidance, low interest in contact, or simply limited drawing skill.",child_drawing_rules_compiled.pdf p.1 — Eyes and face,"withdrawal, avoidance, low interest in contact, or simply limited drawing skill -- two near-duplicate source rows merged into one rule; see source_rule_catalog.json relationships",Not specific.; Projective drawing heuristics; developmental factors important.,insufficient,Weak / mixed,neutral_descriptive_only_no_construct_proposed,yes,no,no,no,"May reflect an intentionally depicted expression, not the child's own state. | May reflect copying a reference image, drawing style, motor/fine-skill limitations, or artistic convention.",Would you be willing to ask your child about the eyes missing or undetailed in this drawing?,expert_review_required,DETECTOR_UNAVAILABLE,disabled,new_candidate_from_compiled_pdf_unreviewed,facial_feature_style,not_set_pending_review
EN_COMPILED_FACE_EXPRESSION_021,face_expression,"Face expression: Smiling can suggest positive tone; sad, tense, or frightened faces can suggest distress.",child_drawing_rules_compiled.pdf p.1 — Eyes and face,positive tone (smiling) or distress (sad/tense/frightened) -- the PDF's own 'Moderate for basic emotion only' grade is the strongest evidence level anywhere in either source,"Children do encode emotions in faces, but not as a diagnosis test.",insufficient,Moderate for basic emotion only,depressive_or_low_mood_related,yes,no,no,no,"May reflect an intentionally depicted expression, not the child's own state. | May reflect copying a reference image, drawing style, motor/fine-skill limitations, or artistic convention.",Would you be willing to ask your child about the face expression in this drawing?,expert_review_required,DETECTOR_UNAVAILABLE,disabled,new_candidate_from_compiled_pdf_unreviewed,facial_feature_style,not_set_pending_review
EN_COMPILED_ANIMAL_CHOICE_GENERAL_022,animal_choice_general,"Animal choice in general: Can reflect interests, story play, fear, identification, or a projective theme.",child_drawing_rules_compiled.pdf p.1 — Animals,"interests, story play, fear, identification, or a projective theme -- too broad/non-specific to map to one construct",Animal-drawing tests and apperception traditions.,insufficient,Weak / mixed,neutral_descriptive_only_no_construct_proposed,yes,no,no,no,"May reflect recent exposure to media, books, or a favourite character featuring the animal, not a psychological statement. | May reflect the drawing prompt or immediate context rather than a stable trait.",Would you be willing to ask your child about the animal choice general in this drawing?,expert_review_required,DETECTOR_UNAVAILABLE,disabled,new_candidate_from_compiled_pdf_unreviewed,animal_symbolism,not_set_pending_review
EN_COMPILED_HOUSE_023,house,"House: Sometimes discussed as family life, safety, privacy, or emotional openness, but not a reliable standalone test.",child_drawing_rules_compiled.pdf p.2 — Animals and objects with stories,"family life, safety, privacy, or emotional openness",Projective drawing traditions.,insufficient,Weak / mixed,neutral_descriptive_only_no_construct_proposed,yes,no,no,no,"May reflect a specific recent event, request, or interest rather than a general personality trait. | May reflect the drawing prompt rather than a spontaneous choice.",Would you be willing to ask your child about the house in this drawing?,expert_review_required,DETECTOR_UNAVAILABLE,disabled,new_candidate_from_compiled_pdf_unreviewed,object_symbolism,not_set_pending_review
EN_COMPILED_TREE_024,tree,"Tree: Sometimes used to think about stability, growth, roots, or vulnerability.",child_drawing_rules_compiled.pdf p.2 — Animals and objects with stories,"stability, growth, roots, or vulnerability",Projective tree-drawing traditions.,insufficient,Weak / mixed,neutral_descriptive_only_no_construct_proposed,yes,no,no,no,"May reflect a specific recent event, request, or interest rather than a general personality trait. | May reflect the drawing prompt rather than a spontaneous choice.",Would you be willing to ask your child about the tree in this drawing?,expert_review_required,DETECTOR_UNAVAILABLE,disabled,new_candidate_from_compiled_pdf_unreviewed,object_symbolism,not_set_pending_review
EN_COMPILED_REPEATED_MONSTERS_DANGER_025,repeated_monsters_danger_injury,"Repeated monsters, danger, injury themes: May indicate fear, distress, or preoccupation with threat; needs careful follow-up.",child_drawing_rules_compiled.pdf p.2 — Animals and objects with stories,"fear, distress, or preoccupation with threat -- the word 'repeated' in the source means this requires comparing multiple drawings over time, not one image",Best used with interview.; Trauma-informed assessment principles.,insufficient,Suggestive only,anxiety_or_stress_related,no,no,yes,no,"May reflect the drawing prompt or a specific story the child had in mind, not a general social state.",Would you be willing to ask your child about the repeated monsters danger injury in this drawing?,insufficient_evidence,DETECTOR_UNAVAILABLE,disabled,new_candidate_from_compiled_pdf_unreviewed,isolation_theme,not_set_pending_review
EN_COMPILED_VERY_SMALL_DRAWING_026,very_small_drawing_absolute,"Very small drawing: May suggest insecurity, withdrawal, fear, or low confidence; could also reflect carefulness or skill limits.",child_drawing_rules_compiled.pdf p.2 — Size and page use,"insecurity, withdrawal, fear, or low confidence -- distinct from the page-fraction-based coverage_small rule; absolute figure size cannot be measured without a physical scale reference, which a scanned/photographed drawing does not carry",Size is a common but nonspecific cue.,insufficient,Weak / mixed,anxiety_or_stress_related,no,no,no,yes,"May reflect available paper space, drawing order, or how much detail the child chose to add, not emotional significance. | May reflect perceived depth/proximity or task instructions rather than self-image (see REF_SIZE_DEPTH_2013).",Would you be willing to ask your child about the very small drawing absolute in this drawing?,insufficient_evidence,DETECTOR_UNAVAILABLE,disabled,new_candidate_from_compiled_pdf_unreviewed,size_composition,not_set_pending_review
EN_COMPILED_REPEATED_FAMILY_CONFLICT_027,repeated_family_conflict,"Repeated family conflict scenes: May indicate tension, perceived conflict, or concern in the home.",child_drawing_rules_compiled.pdf p.3 — Repeated themes,"tension, perceived conflict, or concern in the home",Context is essential.,insufficient,Suggestive only,depressive_or_low_mood_related,no,no,yes,no,"May reflect the drawing prompt or a specific story the child had in mind, not a general social state.",Would you be willing to ask your child about the repeated family conflict in this drawing?,insufficient_evidence,DETECTOR_UNAVAILABLE,disabled,new_candidate_from_compiled_pdf_unreviewed,isolation_theme,not_set_pending_review
EN_COMPILED_REPEATED_ISOLATION_THEMES_028,repeated_isolation_themes,Repeated isolation themes: May point to loneliness or withdrawal.,child_drawing_rules_compiled.pdf p.3 — Repeated themes,loneliness or withdrawal,Not diagnostic.,insufficient,Suggestive only,social_withdrawal_related,no,no,yes,no,"May reflect the drawing prompt or a specific story the child had in mind, not a general social state.",Would you be willing to ask your child about the repeated isolation themes in this drawing?,insufficient_evidence,DETECTOR_UNAVAILABLE,disabled,new_candidate_from_compiled_pdf_unreviewed,isolation_theme,not_set_pending_review
EN_COMPILED_PLACEMENT_CENTER_029,placement_center,"Centering: Often read as balance, security, or comfort.",child_drawing_rules_compiled.pdf p.2 — Placement on the page,"balance, security, or comfort; a real feature (composition.centroid_normalized) exists and is now wired via rule_engine_v2.py, gated on page-frame assessability (see docs/PAGE_FRAME_ASSESSABILITY.md)",Common heuristic.,insufficient,Speculative,neutral_descriptive_only,yes,no,no,no,"May reflect handedness, where the child started drawing, or incidental page layout rather than a stable psychological trait. | Placement effects were found weak and easily masked in the cited literature (REF_PLACEMENT_1992), not validated as fixed meanings.",What made your child choose to draw here on the page?,partially_applicable,IMPLEMENTED_UNVALIDATED,individual_heuristic_only,new_candidate_from_compiled_pdf_unreviewed,spatial_placement,0.1
EN_COMPILED_LINE_HEAVY_PRESSURE_030,heavy_line_pressure_appearance,"Heavy pressure: May suggest tension, force, anger, or high energy.",child_drawing_rules_compiled.pdf p.2 — Line quality and pressure,"tension, force, anger, or high energy -- a real proxy feature (stroke.intensity_proxy) is now wired via rule_engine_v2.py; must never be described as actual physical pencil pressure",Not specific to emotion; can reflect motor style.,insufficient,Weak / mixed,aggression_or_threat_related,yes_proxy_only,no,no,no,"Line darkness/thickness appearance is strongly affected by the drawing tool (marker vs. pencil), paper, scan/photo exposure, and motor development, not only emotional state. | This is an extracted line-darkness proxy only -- it does not measure actual physical pencil pressure, which cannot be recovered from a flat scan/photo.",What did your child use to draw this picture?,expert_review_required,IMPLEMENTED_UNVALIDATED,individual_heuristic_only,new_candidate_from_compiled_pdf_unreviewed,line_intensity_quality,0.1
EN_COMPILED_LINE_LIGHT_PRESSURE_031,light_line_pressure_appearance,"Light pressure: May suggest hesitation, shyness, low energy, or delicacy.",child_drawing_rules_compiled.pdf p.2 — Line quality and pressure,"hesitation, shyness, low energy, or delicacy -- same stroke.intensity_proxy feature at the opposite end",Not specific to emotion.,insufficient,Weak / mixed,anxiety_or_stress_related,yes_proxy_only,no,no,no,"Line darkness/thickness appearance is strongly affected by the drawing tool (marker vs. pencil), paper, scan/photo exposure, and motor development, not only emotional state. | This is an extracted line-darkness proxy only -- it does not measure actual physical pencil pressure, which cannot be recovered from a flat scan/photo.",What did your child use to draw this picture?,expert_review_required,IMPLEMENTED_UNVALIDATED,individual_heuristic_only,new_candidate_from_compiled_pdf_unreviewed,line_intensity_quality,0.1
EN_COMPILED_LINE_SHAKY_BROKEN_032,shaky_or_broken_lines,"Shaky or broken lines: May suggest anxiety, uncertainty, distress, or motor difficulty.",child_drawing_rules_compiled.pdf p.2 — Line quality and pressure,"anxiety, uncertainty, distress, or motor difficulty -- a real proxy feature (stroke.fragmentation) is now wired via rule_engine_v2.py",Needs comparison with age and motor skills.,insufficient,Weak / mixed,developmental_or_attention_related,yes_proxy_only,no,no,no,"Line continuity/fragmentation appearance is strongly affected by drawing speed, tool, fine-motor development, and image resolution, not only emotional state. | This is an extracted line-fragmentation proxy only -- it does not measure the child's felt anxiety or intent.",Can you tell me what is happening in this picture?,expert_review_required,IMPLEMENTED_UNVALIDATED,individual_heuristic_only,new_candidate_from_compiled_pdf_unreviewed,line_fragmentation_quality,0.1
EN_COMPILED_LINE_ZIGZAG_033,zigzag_lines,"Zigzag lines: Sometimes read as agitation, violence, unpredictability, or conflict.",child_drawing_rules_compiled.pdf p.2 — Line quality and pressure,"agitation, violence, unpredictability, or conflict -- no existing feature proxies a zigzag pattern specifically",Older projective and graphological traditions.,insufficient,Weak / mixed,aggression_or_threat_related,yes,no,no,no,"Line appearance is strongly affected by the drawing tool, paper, and motor development, not only emotional state. | This is a visual appearance proxy only -- it does not measure actual physical pencil pressure, which cannot be recovered from a flat scan/photo.",Would you be willing to ask your child about the zigzag lines in this drawing?,expert_review_required,DETECTOR_UNAVAILABLE,disabled,new_candidate_from_compiled_pdf_unreviewed,line_quality,not_set_pending_review
EN_COMPILED_LINE_OVER_ERASING_034,over_erasing_appearance,"Over-erasing / frequent corrections: May suggest perfectionism, anxiety, frustration, or uncertainty.",child_drawing_rules_compiled.pdf p.2 — Line quality and pressure,"perfectionism, anxiety, frustration, or uncertainty -- erasure frequency describes the drawing PROCESS over time, not visible in a single flattened final scan",Also common in normal development.,insufficient,Weak / mixed,neutral_descriptive_only_no_construct_proposed,no,yes,no,no,"Line appearance is strongly affected by the drawing tool, paper, and motor development, not only emotional state. | This is a visual appearance proxy only -- it does not measure actual physical pencil pressure, which cannot be recovered from a flat scan/photo.",Would you be willing to ask your child about the over erasing appearance in this drawing?,insufficient_evidence,DETECTOR_UNAVAILABLE,disabled,new_candidate_from_compiled_pdf_unreviewed,line_quality,not_set_pending_review
EN_COMPILED_MISSING_HANDS_035,missing_hands,"Missing hands: Sometimes interpreted as difficulty acting, social difficulty, or avoidance.",child_drawing_rules_compiled.pdf p.3 — Missing or altered details,"difficulty acting, social difficulty, or avoidance",Can be developmental.,insufficient,Weak / mixed,neutral_descriptive_only_no_construct_proposed,yes,no,no,no,"Omitted or simplified body parts are common at many normal developmental stages and skill levels. | May reflect running out of time or space, not an emotional signal.",Would you be willing to ask your child about the missing hands in this drawing?,expert_review_required,DETECTOR_UNAVAILABLE,disabled,new_candidate_from_compiled_pdf_unreviewed,missing_body_part,not_set_pending_review
EN_COMPILED_MISSING_MOUTH_036,missing_mouth,Missing mouth: Sometimes linked with difficulty expressing emotion or communication issues.,child_drawing_rules_compiled.pdf p.3 — Missing or altered details,difficulty expressing emotion or communication issues,Not specific.,insufficient,Weak / mixed,depressive_or_low_mood_related,yes,no,no,no,"Omitted or simplified body parts are common at many normal developmental stages and skill levels. | May reflect running out of time or space, not an emotional signal.",Would you be willing to ask your child about the missing mouth in this drawing?,expert_review_required,DETECTOR_UNAVAILABLE,disabled,new_candidate_from_compiled_pdf_unreviewed,missing_body_part,not_set_pending_review
EN_COMPILED_EXAGGERATED_BODY_PARTS_037,exaggerated_body_parts,"Exaggerated body parts: Huge hands, teeth, eyes, etc. may suggest aggression, fear, or hypervigilance.",child_drawing_rules_compiled.pdf p.3 — Missing or altered details,"aggression, fear, or hypervigilance -- the source itself grades this 'Very tentative'",Very tentative.,insufficient,Weak / mixed,anxiety_or_stress_related,yes,no,no,no,"Omitted or simplified body parts are common at many normal developmental stages and skill levels. | May reflect running out of time or space, not an emotional signal.",Would you be willing to ask your child about the exaggerated body parts in this drawing?,expert_review_required,DETECTOR_UNAVAILABLE,disabled,new_candidate_from_compiled_pdf_unreviewed,missing_body_part,not_set_pending_review
EN_COMPILED_DARK_COLORS_SAD_ISOLATION_038,dark_colors_sad_faces_isolation,"Dark colors, sad faces, isolation: Sometimes flagged as possible sadness, low mood, or distress.",child_drawing_rules_compiled.pdf p.3 — Mood or concern flags sometimes discussed,"possible sadness, low mood, or distress -- a compound row: the colour component (colour.dark_ratio) is genuinely static_direct, but 'sad faces' and 'isolation' both require detectors that do not exist, so the whole row is blocked at the weakest-link level",Color evidence is mixed; not diagnostic.,insufficient,Suggestive only,depressive_or_low_mood_related,yes,no,no,no,"Colour choice is strongly affected by which colours/pens were available, not only mood. | Colour-based mood inference has mixed, non-diagnostic literature support.",Would you be willing to ask your child about the dark colors sad faces isolation in this drawing?,expert_review_required,DETECTOR_UNAVAILABLE,disabled,new_candidate_from_compiled_pdf_unreviewed,colour_mood_flags,not_set_pending_review
EN_COMPILED_REFUSAL_TO_DRAW_039,refusal_to_draw_figures,"Refusal to draw figures: May suggest distress, resistance, perfectionism, or lack of task engagement.",child_drawing_rules_compiled.pdf p.3 — Mood or concern flags sometimes discussed,"distress, resistance, perfectionism, or lack of task engagement -- describes something the child DID NOT draw during the session, not visible in any finished image",Can have many causes.,insufficient,Suggestive only,neutral_descriptive_only_no_construct_proposed,no,yes,no,no,"May reflect fatigue, disinterest in the specific task, or many unrelated situational factors.",Would you be willing to ask your child about the refusal to draw figures in this drawing?,insufficient_evidence,DETECTOR_UNAVAILABLE,disabled,new_candidate_from_compiled_pdf_unreviewed,task_engagement,not_set_pending_review
EN_COMPILED_EXCESSIVE_DETAIL_040,excessive_detail_or_fixation,"Excessive detail or fixation: May suggest anxiety, obsession with parts of the task, or strong interest.",child_drawing_rules_compiled.pdf p.3 — Mood or concern flags sometimes discussed,"anxiety, obsession with parts of the task, or strong interest",Not specific.,insufficient,Suggestive only,developmental_or_attention_related,yes,no,no,no,"May reflect genuine interest or enjoyment in a specific detail, not anxiety.",Would you be willing to ask your child about the excessive detail or fixation in this drawing?,expert_review_required,DETECTOR_UNAVAILABLE,disabled,new_candidate_from_compiled_pdf_unreviewed,detail_fixation,not_set_pending_review
