rule_id,source_text,source_and_page,observable_clarity_1_4,interpretation_relevance_1_4,assessable_from_static_image_y_n,evidence_needed,construct_mapping_accepted_y_n,safe_for_parent_y_n,safe_wording_revision,comments
EN_COMPILED_LINE_LIGHT_PRESSURE_031,"Light pressure: May suggest hesitation, shyness, low energy, or delicacy.","child_drawing_rules_compiled.pdf, page 2",,,Y,"stroke.intensity_proxy (computed, not wired to any evaluator; proxy only)",,,,
EN_COMPILED_LINE_SHAKY_BROKEN_032,"Shaky or broken lines: May suggest anxiety, uncertainty, distress, or motor difficulty.","child_drawing_rules_compiled.pdf, page 2",,,Y,"stroke.fragmentation (computed, not wired to any evaluator; proxy only)",,,,
EN_COMPILED_LINE_ZIGZAG_033,"Zigzag lines: Sometimes read as agitation, violence, unpredictability, or conflict.","child_drawing_rules_compiled.pdf, page 2",,,Y,detector_or_context_absent:static_detector,,,,
EN_COMPILED_LINE_OVER_ERASING_034,"Over-erasing / frequent corrections: May suggest perfectionism, anxiety, frustration, or uncertainty.","child_drawing_rules_compiled.pdf, page 2",,,N,detector_or_context_absent:process_required,,,,
EN_COMPILED_MISSING_HANDS_035,"Missing hands: Sometimes interpreted as difficulty acting, social difficulty, or avoidance.","child_drawing_rules_compiled.pdf, page 3",,,Y,detector_or_context_absent:static_detector,,,,
EN_COMPILED_MISSING_MOUTH_036,Missing mouth: Sometimes linked with difficulty expressing emotion or communication issues.,"child_drawing_rules_compiled.pdf, page 3",,,Y,detector_or_context_absent:static_detector,,,,
EN_COMPILED_EXAGGERATED_BODY_PARTS_037,"Exaggerated body parts: Huge hands, teeth, eyes, etc. may suggest aggression, fear, or hypervigilance.","child_drawing_rules_compiled.pdf, page 3",,,Y,detector_or_context_absent:static_detector,,,,
EN_COMPILED_DARK_COLORS_SAD_ISOLATION_038,"Dark colors, sad faces, isolation: Sometimes flagged as possible sadness, low mood, or distress.","child_drawing_rules_compiled.pdf, page 3",,,Y,detector_or_context_absent:static_detector,,,,
EN_COMPILED_REFUSAL_TO_DRAW_039,"Refusal to draw figures: May suggest distress, resistance, perfectionism, or lack of task engagement.","child_drawing_rules_compiled.pdf, page 3",,,N,detector_or_context_absent:process_required,,,,
EN_COMPILED_EXCESSIVE_DETAIL_040,"Excessive detail or fixation: May suggest anxiety, obsession with parts of the task, or strong interest.","child_drawing_rules_compiled.pdf, page 3",,,Y,detector_or_context_absent:static_detector,,,,
EN_COMPILED_NEGLECT_BACKGROUND_041,"Neglect of background: May reflect focus on the main subject, limited time, or developmental style.","child_drawing_rules_compiled.pdf, page 3",,,Y,detector_or_context_absent:static_detector,,,,
