case_id,cohort_role,matched_rules_before,matched_rules_after,disabled_rules_removed,n_matched_before,n_matched_after,n_disabled_removed,n_literature_associations_before,n_literature_associations_after,domains_touched_before,domains_touched_after,overall_synthesis_level_before,overall_synthesis_level_after,overall_synthesis_level_changed,n_candidate_hypotheses_before,n_candidate_hypotheses_after,candidate_hypotheses_changed,case_affected_by_fix
p2b_0040,e6_pilot_original_15,,,,0,0,0,0,0,,,insufficient_interpretable_evidence,insufficient_interpretable_evidence,False,0,0,False,False
p2b_0047,e6_pilot_original_15,,,,0,0,0,0,0,,,insufficient_interpretable_evidence,insufficient_interpretable_evidence,False,0,0,False,False
p2b_0054,e6_pilot_original_15,EN_COMPILED_LINE_LIGHT_PRESSURE_031,EN_COMPILED_LINE_LIGHT_PRESSURE_031,,1,1,0,1,1,anxiety_or_stress_related,anxiety_or_stress_related,limited_association,limited_association,False,0,0,False,False
p2b_0061,e6_pilot_original_15,EN_COMPILED_PLACEMENT_CENTER_029;PSY_AR_GEOMETRY_008;PSY_AR_SIZE_HALF_014,EN_COMPILED_PLACEMENT_CENTER_029;PSY_AR_SIZE_HALF_014,PSY_AR_GEOMETRY_008,3,2,1,3,2,developmental_or_attention_related;neutral_descriptive_only;neutral_descriptive_only_no_construct_proposed,neutral_descriptive_only;neutral_descriptive_only_no_construct_proposed,limited_association,descriptive_only,True,0,0,False,True
p2b_0068,e6_pilot_original_15,EN_COMPILED_ANIMAL_CHOICE_GENERAL_022;EN_COMPILED_HOUSE_023;EN_COMPILED_LINE_LIGHT_PRESSURE_031;EN_COMPILED_TREE_024;PSY_AR_GEOMETRY_008,EN_COMPILED_LINE_LIGHT_PRESSURE_031,EN_COMPILED_ANIMAL_CHOICE_GENERAL_022;EN_COMPILED_HOUSE_023;EN_COMPILED_TREE_024;PSY_AR_GEOMETRY_008,5,1,4,5,1,anxiety_or_stress_related;developmental_or_attention_related;neutral_descriptive_only_no_construct_proposed,anxiety_or_stress_related,limited_association,limited_association,False,0,0,False,True
p2b_0006,e6_expanded_new,EN_COMPILED_LINE_HEAVY_PRESSURE_030;EN_COMPILED_LINE_SHAKY_BROKEN_032,EN_COMPILED_LINE_HEAVY_PRESSURE_030;EN_COMPILED_LINE_SHAKY_BROKEN_032,,2,2,0,2,2,aggression_or_threat_related;developmental_or_attention_related,aggression_or_threat_related;developmental_or_attention_related,limited_association,limited_association,False,0,0,False,False
p2b_0007,e6_expanded_new,EN_COMPILED_LINE_SHAKY_BROKEN_032;PSY_AR_GEOMETRY_008,EN_COMPILED_LINE_SHAKY_BROKEN_032,PSY_AR_GEOMETRY_008,2,1,1,2,1,developmental_or_attention_related,developmental_or_attention_related,convergent_concern_pattern,limited_association,True,1,0,True,True
p2b_0008,e6_expanded_new,EN_COMPILED_FACE_EXPRESSION_021;PSY_AR_GEOMETRY_008;PSY_AR_HEARTS_013,,EN_COMPILED_FACE_EXPRESSION_021;PSY_AR_GEOMETRY_008;PSY_AR_HEARTS_013,3,0,3,3,0,depressive_or_low_mood_related;developmental_or_attention_related;positive_affect_or_social_engagement,,limited_association,insufficient_interpretable_evidence,True,0,0,False,True
p2b_0009,e6_expanded_new,EN_COMPILED_LINE_HEAVY_PRESSURE_030;EN_COMPILED_LINE_SHAKY_BROKEN_032,EN_COMPILED_LINE_HEAVY_PRESSURE_030;EN_COMPILED_LINE_SHAKY_BROKEN_032,,2,2,0,2,2,aggression_or_threat_related;developmental_or_attention_related,aggression_or_threat_related;developmental_or_attention_related,limited_association,limited_association,False,0,0,False,False
p2b_0010,e6_expanded_new,EN_COMPILED_LINE_SHAKY_BROKEN_032,EN_COMPILED_LINE_SHAKY_BROKEN_032,,1,1,0,1,1,developmental_or_attention_related,developmental_or_attention_related,limited_association,limited_association,False,0,0,False,False
p2b_0011,e6_expanded_new,EN_COMPILED_HOUSE_023,,EN_COMPILED_HOUSE_023,1,0,1,1,0,neutral_descriptive_only_no_construct_proposed,,descriptive_only,insufficient_interpretable_evidence,True,0,0,False,True
p2b_0014,e6_expanded_new,EN_COMPILED_LINE_SHAKY_BROKEN_032,EN_COMPILED_LINE_SHAKY_BROKEN_032,,1,1,0,1,1,developmental_or_attention_related,developmental_or_attention_related,limited_association,limited_association,False,0,0,False,False
p2b_0016,e6_expanded_new,,,,0,0,0,0,0,,,insufficient_interpretable_evidence,insufficient_interpretable_evidence,False,0,0,False,False
p2b_0017,e6_expanded_new,EN_COMPILED_LINE_LIGHT_PRESSURE_031;EN_COMPILED_LINE_SHAKY_BROKEN_032;PSY_AR_STARS_009,EN_COMPILED_LINE_LIGHT_PRESSURE_031;EN_COMPILED_LINE_SHAKY_BROKEN_032,PSY_AR_STARS_009,3,2,1,3,2,anxiety_or_stress_related;developmental_or_attention_related;neutral_descriptive_only_no_construct_proposed,anxiety_or_stress_related;developmental_or_attention_related,limited_association,limited_association,False,0,0,False,True
p2b_0018,e6_expanded_new,PSY_AR_GEOMETRY_008,,PSY_AR_GEOMETRY_008,1,0,1,1,0,developmental_or_attention_related,,limited_association,insufficient_interpretable_evidence,True,0,0,False,True
p2b_0020,e6_expanded_new,EN_COMPILED_LINE_LIGHT_PRESSURE_031,EN_COMPILED_LINE_LIGHT_PRESSURE_031,,1,1,0,1,1,anxiety_or_stress_related,anxiety_or_stress_related,limited_association,limited_association,False,0,0,False,False
p2b_0021,e6_expanded_new,,,,0,0,0,0,0,,,insufficient_interpretable_evidence,insufficient_interpretable_evidence,False,0,0,False,False
p2b_0022,e6_expanded_new,EN_COMPILED_LINE_SHAKY_BROKEN_032;EN_COMPILED_PLACEMENT_CENTER_029;EN_COMPILED_TREE_024;PSY_AR_SIZE_HALF_014,EN_COMPILED_LINE_SHAKY_BROKEN_032;EN_COMPILED_PLACEMENT_CENTER_029;PSY_AR_SIZE_HALF_014,EN_COMPILED_TREE_024,4,3,1,4,3,developmental_or_attention_related;neutral_descriptive_only;neutral_descriptive_only_no_construct_proposed,developmental_or_attention_related;neutral_descriptive_only;neutral_descriptive_only_no_construct_proposed,limited_association,limited_association,False,0,0,False,True
p2b_0023,e6_expanded_new,EN_COMPILED_LINE_LIGHT_PRESSURE_031;PSY_AR_GEOMETRY_008;PSY_AR_HEARTS_013,EN_COMPILED_LINE_LIGHT_PRESSURE_031,PSY_AR_GEOMETRY_008;PSY_AR_HEARTS_013,3,1,2,3,1,anxiety_or_stress_related;developmental_or_attention_related;positive_affect_or_social_engagement,anxiety_or_stress_related,limited_association,limited_association,False,0,0,False,True
p2b_0024,e6_expanded_new,,,,0,0,0,0,0,,,insufficient_interpretable_evidence,insufficient_interpretable_evidence,False,0,0,False,False
p2b_0025,e6_expanded_new,EN_COMPILED_FACE_EXPRESSION_021;EN_COMPILED_LINE_LIGHT_PRESSURE_031,EN_COMPILED_LINE_LIGHT_PRESSURE_031,EN_COMPILED_FACE_EXPRESSION_021,2,1,1,2,1,anxiety_or_stress_related;depressive_or_low_mood_related,anxiety_or_stress_related,limited_association,limited_association,False,0,0,False,True
p2b_0027,e6_expanded_new,EN_COMPILED_PLACEMENT_CENTER_029,EN_COMPILED_PLACEMENT_CENTER_029,,1,1,0,1,1,neutral_descriptive_only,neutral_descriptive_only,descriptive_only,descriptive_only,False,0,0,False,False
p2b_0028,e6_expanded_new,EN_COMPILED_LINE_HEAVY_PRESSURE_030;PSY_AR_CIRCLES_011,EN_COMPILED_LINE_HEAVY_PRESSURE_030,PSY_AR_CIRCLES_011,2,1,1,2,1,aggression_or_threat_related;social_withdrawal_related,aggression_or_threat_related,limited_association,limited_association,False,0,0,False,True
p2b_0029,e6_expanded_new,EN_COMPILED_FACE_EXPRESSION_021;EN_COMPILED_LINE_SHAKY_BROKEN_032,EN_COMPILED_LINE_SHAKY_BROKEN_032,EN_COMPILED_FACE_EXPRESSION_021,2,1,1,2,1,depressive_or_low_mood_related;developmental_or_attention_related,developmental_or_attention_related,limited_association,limited_association,False,0,0,False,True
